arch,lam_mono,lam_zuber,lr,n_collocation,r2_mean,r2_std,r2_min,r2_max,mape_mean
16x16x8,0.5,0.1,0.001,512,0.6875444821797971,0.1578780736355172,0.38698934857416056,0.8307432797327149,33.79385452673209
16x16x8,0.0,0.1,0.001,512,0.6803515988475651,0.16196222619933645,0.3854808852087822,0.84457061728533,35.246210997451406
16x16x8,0.3,0.1,0.001,512,0.6755020550416809,0.15567764344207102,0.38609984069839,0.8273708025855524,34.69188666831527
16x16x8,0.1,0.1,0.001,512,0.6731116019124327,0.1635537976319757,0.38557658490398783,0.8468131845874954,34.938798216508076
16x16x8,0.0,0.1,0.001,256,0.6541761591126471,0.1990003916366783,0.27755059120063175,0.8463334275562886,36.35842637951911
16x16x8,0.1,0.1,0.001,256,0.6498709545873051,0.19911819382948678,0.27731763456010083,0.8450986436728174,35.97035388450624
16x16x8,0.3,0.1,0.001,256,0.6489792170477391,0.19404307889949324,0.2773970828456138,0.8303577160741634,35.6992944237912
16x16x8,0.5,0.1,0.001,256,0.6451050769883965,0.1933166899522275,0.2767455620488618,0.8294897907951067,35.895409795046106
16x16x8,0.5,0.3,0.001,256,0.6010616997255781,0.11702668374466359,0.4479020968755676,0.7860200608887363,33.491597423984956
16x16x8,0.3,0.3,0.001,256,0.5917481459851003,0.11413782477277191,0.4475305418955794,0.7937550123503662,34.82484249235415
16x16x8,0.0,0.3,0.001,512,0.5782094329099776,0.15820618468233313,0.380910679324692,0.8040028426113417,36.471639535017104
8x8,0.3,0.1,0.001,512,0.5736419684737515,0.06590757240787226,0.5200577380600047,0.6999544017125506,41.61685858205827
16x16x8,0.0,0.3,0.001,256,0.5685538456794736,0.1245028330117198,0.4243157320526513,0.797010967054531,34.15097399501628
8x8,0.3,0.1,0.001,256,0.5645914270742672,0.06552671225672743,0.522208042530157,0.695062994218252,41.73131900290373
16x16x8,0.1,0.3,0.001,256,0.5631909529435883,0.1135010570968575,0.44323559664498513,0.7792036591022303,34.24564977433357
16x16x8,0.1,0.3,0.001,512,0.5631177259009217,0.14552029299922298,0.3799334676757189,0.8055946544872762,36.8266423083479
16x16x8,0.5,0.3,0.001,512,0.5619440817412328,0.14171829445259446,0.3795833838883397,0.7780614686948204,36.88413033866208
16x16x8,0.3,0.3,0.001,512,0.5537599648772658,0.14446579242727994,0.37977607565553084,0.8059885129860358,37.275194250819865
16x16x8,0.5,0.3,0.0005,256,0.5485419039295067,0.13419407587189436,0.384936373561939,0.7671649630731826,38.23284778117462
8x8,0.1,0.1,0.001,512,0.5380671013487601,0.09594557569559137,0.3998729764169824,0.7003110346748043,42.72861077659381
16x16x8,0.0,0.3,0.0005,256,0.537297366590724,0.14585872975495653,0.3526553830584831,0.7726127496342605,38.58129344801014
16x16x8,0.3,0.3,0.0005,256,0.5352175114825913,0.1505614849049055,0.3391348424128058,0.7691675276148581,38.5820167731686
8x8,0.1,0.1,0.001,256,0.5337298134384636,0.09806232350604194,0.38707128329066365,0.6955037823364152,42.652235774012
16x16x8,0.1,0.3,0.0005,256,0.5310438658512358,0.15417192634107674,0.3157425172297744,0.770666969585491,38.469331054167064
16x8,0.5,0.1,0.001,256,0.528005645616636,0.08467821998416869,0.4472297142990169,0.6890156144863282,42.65902376748916
8x8,0.0,0.1,0.001,512,0.5271982783607739,0.11218510013597018,0.3473287120782811,0.7005590973839233,42.669880767771915
16x8,0.5,0.1,0.001,512,0.5271168775078064,0.08560370144158375,0.4310078370248993,0.6845298920339729,42.80562827302458
8x8,0.0,0.1,0.001,256,0.5263983340814096,0.10892258306381335,0.3525260087163229,0.6956572342971867,42.65789738683071
16x8,0.3,0.1,0.001,256,0.5252880932520831,0.0826976753461092,0.4405688391114565,0.680459851877224,42.720588063551624
16x16x8,0.5,0.3,0.0005,512,0.5247284678847683,0.1420083919142748,0.36618006091210487,0.7638174848413376,39.58175258882034
16x8,0.3,0.1,0.001,512,0.5246087281136687,0.0831800622270932,0.42758978712901363,0.6755066564871133,42.89653229829422
16x8,0.1,0.1,0.001,512,0.5221020763774182,0.08057246201883295,0.42398732993444277,0.6658390168267504,42.95710803219846
16x8,0.1,0.1,0.001,256,0.5218472161513548,0.08177374107215755,0.4306180048943058,0.672322337973604,42.752239999119794
16x8,0.0,0.1,0.001,512,0.5211042297068874,0.07912436295838816,0.4230642458783912,0.6612378445961339,42.9699256626679
16x8,0.0,0.1,0.001,256,0.5195656899767269,0.08094158640471845,0.4250994077252763,0.6665545872948299,42.79219824626481
