arch,lam_mono,lam_zuber,lr,n_collocation,r2_mean,r2_std,r2_min,r2_max,mape_mean
16x16x8,0.5,0.1,0.001,512,0.6875576385742459,0.15788675321614798,0.3869885716125093,0.8308011181569857,33.794077448752276
16x16x8,0.0,0.1,0.001,512,0.680308802988185,0.16192020491707196,0.38548095284063744,0.8444767970877326,35.2473326519132
16x16x8,0.3,0.1,0.001,512,0.675541188695915,0.1556998851622048,0.38609982820321276,0.8274760269236044,34.69165032535043
16x16x8,0.1,0.1,0.001,512,0.6730761364902815,0.1635209639093693,0.38557579819085863,0.8466828151387329,34.9446694483287
16x16x8,0.0,0.1,0.001,256,0.6542167328296509,0.19896057390938998,0.27771052072227054,0.8463332121437379,36.35604669685798
16x16x8,0.1,0.1,0.001,256,0.649856232343996,0.19911086933967342,0.2773162040090733,0.8450986340384999,35.97156988421206
16x16x8,0.3,0.1,0.001,256,0.6489307514396898,0.19402406033251696,0.2773911556783075,0.8303572003571722,35.70195585412356
16x16x8,0.5,0.1,0.001,256,0.6451310965125582,0.1933238072662758,0.276745783825306,0.8294716168374419,35.8926729563936
16x16x8,0.5,0.3,0.001,256,0.6047353395583652,0.1146728510487148,0.46077527424169484,0.7894126888521544,33.81918297712998
16x16x8,0.3,0.3,0.001,256,0.589153238109754,0.11397361989052941,0.447532847270389,0.7937381037379301,34.90021863375401
16x16x8,0.0,0.3,0.001,512,0.578060877772348,0.15841567538563991,0.3801565161952666,0.8040065285767013,36.47435348174328
8x8,0.3,0.1,0.001,512,0.5736571305898559,0.06589403506468816,0.5201405284513249,0.699954206981082,41.61640023714783
16x16x8,0.5,0.3,0.001,512,0.5671748160594394,0.1502624002562974,0.3789226849586631,0.8049406228528742,36.3250202280767
8x8,0.3,0.1,0.001,256,0.5645859418038752,0.06552909009177046,0.5222082023436336,0.6950619371135449,41.73159066856548
16x16x8,0.0,0.3,0.001,256,0.5645486930785545,0.12452348843206326,0.4243165961136056,0.7969962995265327,34.16366462130768
16x16x8,0.1,0.3,0.001,512,0.5633907995714268,0.14534686834311084,0.3807925742188971,0.8056355784120918,36.821734849491044
16x16x8,0.1,0.3,0.001,256,0.5633112052232906,0.11347322754242817,0.44323405832373897,0.7792039294108033,34.24314467495785
16x16x8,0.3,0.3,0.001,512,0.5540008461556887,0.14499454834085362,0.3795901818689488,0.8073748782993438,37.28647313430272
16x16x8,0.5,0.3,0.0005,256,0.5485663904734557,0.13420423264057058,0.384938006321197,0.7671647491002462,38.2324326375868
8x8,0.1,0.1,0.001,512,0.5380863550505159,0.09593791388139951,0.3998873168679786,0.7003098162166557,42.728150996530225
16x16x8,0.0,0.3,0.0005,256,0.5373835910362635,0.14574729524162716,0.35310763817969504,0.7726123225537199,38.576840805525414
16x16x8,0.3,0.3,0.0005,256,0.5352229211249575,0.15056770676484998,0.33913876009597166,0.7691909359176607,38.5806497359611
8x8,0.1,0.1,0.001,256,0.5337248894944213,0.09806221618380424,0.38707214655710687,0.6955033784120874,42.65249042414665
16x16x8,0.1,0.3,0.0005,256,0.5310428704108736,0.1541458038302125,0.31574214891633523,0.7705847696444208,38.472369377338325
16x8,0.5,0.1,0.001,256,0.5280137543288118,0.08467725235036137,0.4472298466302437,0.6890163360865085,42.658826616002884
8x8,0.0,0.1,0.001,512,0.527215128842491,0.11218255986389991,0.34733216897708663,0.7005578821317917,42.669373400516506
16x8,0.5,0.1,0.001,512,0.5270843740692557,0.08564117075394669,0.4308745262004623,0.68455026680565,42.80662674920516
8x8,0.0,0.1,0.001,256,0.5263950302903028,0.10891973594014788,0.3525343486194994,0.69565690711293,42.65813730729996
