split,r2_mean,r2_std,r2_min,r2_max,mape_mean,mape_std
A,0.9643543766007024,0.004557509752416692,0.9576059123381545,0.9720163303898487,12.87224807629249,0.7216262220759925
B,0.9714384699844727,0.0035787440152846677,0.964487012176388,0.9766815461587387,12.86904460928292,0.8964187345854028
C,0.6826284849135263,0.11326346922277407,0.4792447367614201,0.8173503050243992,36.079050127741866,3.137653726401054
