arch,lam_mono,lam_zuber,lr,n_collocation,proxy_log_r2_mean,proxy_log_r2_std,proxy_raw_r2_mean,proxy_raw_r2_std,proxy_mape_mean
16x8,0.3,0.0,0.001,512,0.958215788831988,0.023533013985751482,0.9226323770880838,0.01582738507526234,20.864014160946738
16x8,0.0,0.0,0.001,512,0.9582137715819558,0.023535985903458203,0.9226275384411327,0.015823815191311746,20.864357403820723
16x8,0.0,0.1,0.001,512,0.9555897475412403,0.023019769099521276,0.9260845309279798,0.016557712975139794,21.082628259659053
16x8,0.3,0.1,0.001,512,0.9555854205427678,0.023012492278950025,0.9260908109665811,0.01655856806523295,21.08471500923159
16x8,0.5,0.1,0.001,512,0.9555824881762088,0.02300761086667398,0.9260944963452638,0.01655953562478774,21.086076847681007
16x16x8,0.0,0.0,0.001,512,0.9371927210339772,0.03465815101678934,0.904836410064022,0.029529449582734676,25.611993160590522
16x16x8,0.3,0.0,0.001,512,0.9371833923512713,0.034667069107515505,0.904821090351866,0.02953201486443714,25.616407434332427
16x16x8,0.0,0.1,0.001,512,0.931304812820786,0.03228846616888747,0.8857536793389444,0.06330474075504781,26.99275220398306
16x16x8,0.3,0.1,0.001,512,0.9312969349425039,0.032295338700454194,0.8857656121982238,0.06325556064973192,26.997192526634972
16x16x8,0.5,0.1,0.001,512,0.9312939778781711,0.03230265050144214,0.8857752552675796,0.06325015349894171,26.999513316300675
