Fin Shape,Fin Array,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)",Roughness Factor,Surface Material,Fluid,CHF(kW/m2),Source
Square,Square,25,50,200,50,1,0.750,150.000,120.000,5.000,Silicon (N-type),FC-72,581.4,
Square,Square,45,50,200,50,1,0.750,150.000,120.000,5.000,Silicon (N-type),FC-72,772.9,
Square,Square,0,50,270,50,1,0.750,150.000,126.563,6.400,Silicon (N-type),FC-72,324.3,
Square,Square,25,50,270,50,1,0.750,150.000,126.563,6.400,Silicon (N-type),FC-72,613.4,
Square,Square,45,50,270,50,1,0.750,150.000,126.563,6.400,Silicon (N-type),FC-72,835.6,
N/A,N/A,3,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,167.3,"Wei et al. 2005
https://doi.org/10.1007/s00231-005-0633-x"
N/A,N/A,35,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,252,
Square,Square,3,30,60,30,1,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,275.9,
Square,Square,35,30,60,30,1,0.750,90.000,60.000,3.000,Silicon (N-type),FC-72,582.6,
Square,Square,3,30,200,30,1,0.750,90.000,78.261,7.667,Silicon (N-type),FC-72,320.2,
Square,Square,35,30,200,30,1,0.750,90.000,78.261,7.667,Silicon (N-type),FC-72,686.2,
N/A,N/A,15,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,181.5,"Zhang et al. 2018
https://doi.org/10.1016/j.applthermaleng.2018.04.053"
N/A,N/A,25,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,232,
N/A,N/A,35,0,0,0,0,0.000,0.000,0.000,1.000,Silicon (N-type),FC-72,288,
Square,Hexagonal,15,30,60,45,1,0.815,132.380,78.958,2.478,Silicon (N-type),FC-72,365.5,
Square,Hexagonal,25,30,60,45,1,0.815,132.380,78.958,2.478,Silicon (N-type),FC-72,465,
Square,Hexagonal,35,30,60,45,1,0.815,132.380,78.958,2.478,Silicon (N-type),FC-72,565,
Square,Hexagonal,15,30,60,30,1,0.711,73.923,51.586,3.309,Silicon (N-type),FC-72,360,
Square,Hexagonal,25,30,60,30,1,0.711,73.923,51.586,3.309,Silicon (N-type),FC-72,476.7,
Square,Hexagonal,35,30,60,30,1,0.711,73.923,51.586,3.309,Silicon (N-type),FC-72,546,
Square,Hexagonal,15,30,60,15,1,0.487,28.457,22.883,5.106,Silicon (N-type),FC-72,330.9,
Square,Hexagonal,25,30,60,15,1,0.487,28.457,22.883,5.106,Silicon (N-type),FC-72,429,
Square,Hexagonal,35,30,60,15,1,0.487,28.457,22.883,5.106,Silicon (N-type),FC-72,539.8,
Square,Hexagonal,15,30,120,45,1,0.815,132.380,98.917,3.956,Silicon (N-type),FC-72,390,
Square,Hexagonal,25,30,120,45,1,0.815,132.380,98.917,3.956,Silicon (N-type),FC-72,504,
Square,Hexagonal,35,30,120,45,1,0.815,132.380,98.917,3.956,Silicon (N-type),FC-72,607.2,
Square,Hexagonal,15,30,120,30,1,0.711,73.923,60.767,5.619,Silicon (N-type),FC-72,390.7,
Square,Hexagonal,25,30,120,30,1,0.711,73.923,60.767,5.619,Silicon (N-type),FC-72,498.2,
