P_kPa,G_kg_m2s,X,D_mm,CHF_kW_m2,Angle_deg,Orientation,P_reduced,rho_l_kg_m3,rho_g_kg_m3,density_ratio
99.83999999999999,0.0,-0.1345843460202652,3.183098861837907,4637.040420363738,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.12939028535736502,3.183098861837907,4184.653062007031,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.12308463844815912,3.183098861837907,2492.0615679377092,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.12308463844815912,3.183098861837907,2566.369400848338,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14994513529445289,1.5915494309189535,5886.333381725803,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1443360718013069,1.5915494309189535,6193.575178863326,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14407933029645428,1.5915494309189535,5901.205012575431,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14594265987372587,3.183098861837907,4343.341828841634,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1501127694117745,3.183098861837907,2779.364985017582,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1467632580918835,3.183098861837907,5005.121981678165,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1457258790777339,3.183098861837907,4958.966207007685,90.0,Ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14150408802113093,3.183098861837907,4111.929452993258,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14080848019967174,1.5915494309189535,4551.684970033573,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1491377497748224,1.5915494309189535,2803.4441302771475,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1493304064978003,3.183098861837907,2667.0646600149785,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1421600296931288,1.5915494309189535,4753.175177113847,90.0,ver ,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.005000050012164593,3.183098861837907,1869.7563396574715,90.0,ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14296219355398948,1.5915494309189535,3232.9458731870786,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.13890928986880385,1.5915494309189535,2427.971940016264,180.0,down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.13148178776170882,1.5915494309189535,3909.3044320468443,90.0,ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1443360718013069,3.183098861837907,1988.3895767447284,180.0,down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1487951871302105,3.183098861837907,3300.1595395628287,90.0,ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.13750225056764823,3.183098861837907,3116.0022452022235,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.12859701367987814,3.183098861837907,3052.3382659629265,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1441521536781754,1.5915494309189535,3095.7424802649102,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14296219355398948,1.5915494309189535,3529.908019940424,90.0,ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.1352650127665696,3.183098861837907,1126.3525925179206,180.0,down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.137123299727362,3.183098861837907,2237.2011179282003,0.0,up,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.12124419934488688,3.183098861837907,2906.123954861953,90.0,ver,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.14641044366051362,1.5915494309189535,1259.0242737660167,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
99.83999999999999,0.0,-0.146364815719684,1.5915494309189535,5020.606746900319,180.0,Down,0.004525018129079503,958.6635397875328,0.5894605015896689,1626.3405897463695
