iter	RMSE
220	0.2612478797
221	0.2610713871
222	0.2608816653
223	0.2607586069
224	0.2605480143
225	0.2604861144
226	0.2603355526
227	0.2602076794
228	0.2600417759
229	0.2599187989
230	0.2598137838
231	0.2596956886
232	0.2596024898
233	0.2593880494
234	0.2592649746
235	0.2591193264
236	0.2590528232
237	0.2589923914
238	0.2589344483
239	0.2587973631
240	0.2586585495
241	0.2585087988
242	0.2583317197
243	0.2581831961
244	0.258074963
245	0.2578773718
246	0.2577686636
247	0.2576082347
248	0.2575561789
249	0.2574466794
250	0.2573695962
251	0.2573057907
252	0.2572307237
253	0.2571068738
254	0.2569865193
255	0.2568105541
256	0.2567045123
257	0.256629948
258	0.2565720026
259	0.2564919243
260	0.2564013388
261	0.2562787984
262	0.2561679527
263	0.25605175
264	0.2559651544
265	0.255883317
266	0.2558163395
267	0.2557189357
268	0.2556151411
269	0.2555259982
270	0.2554194882
271	0.2553433761
272	0.2552216017
273	0.255130208
274	0.2550661869
275	0.2549379017
276	0.2548439531
277	0.2547357196
278	0.2546088153
279	0.2545252184
280	0.2544101421
281	0.2542391713
282	0.254141907
283	0.2540125596
284	0.2539485499
285	0.2538719966
286	0.2537886458
287	0.2537055897
288	0.2535880954
289	0.2535034943
290	0.2534272402
291	0.2532722212
292	0.2532319586
293	0.2531421053
294	0.2530632665
295	0.2530038293
296	0.2529310341
297	0.2528545366
298	0.252785829
299	0.2527058376
300	0.2526226952
301	0.2525357331
302	0.2524676298
303	0.2523528232
304	0.2522853977
305	0.2522034542
306	0.2521445357
307	0.2520538847
308	0.2520072412
309	0.2519523119
310	0.2518780776
311	0.2518046281
312	0.2517429499
313	0.2516401975
314	0.2515956046
315	0.2514763821
316	0.2514103209
317	0.2512632028
318	0.2512296976
319	0.2511736153
320	0.2511071816
321	0.2510480661
322	0.2510013591
323	0.2509340925
324	0.2508383614
325	0.2508018243
326	0.2506851157
327	0.2505835502
328	0.2504985976
329	0.2504469776
330	0.2503494749
331	0.2503025666
332	0.2502741316
333	0.2502110432
334	0.2500885765
335	0.2500285983
336	0.2499794647
337	0.2498822063
338	0.2498080949
339	0.2497665415
340	0.2496943675
341	0.2496082314
342	0.2495597913
343	0.2494941167
344	0.2494319911
345	0.2493700822
346	0.2493039636
347	0.2492231341
348	0.2491308566
349	0.2490517073
350	0.2490087317
351	0.2489451742
352	0.2487789517
353	0.2487136909
354	0.2486618989
355	0.2486119488
356	0.2485474364
357	0.2484648488
358	0.2484172765
359	0.2483588761
360	0.2483086031
361	0.2482640121
362	0.2482382699
363	0.2481655895
364	0.2480999195
365	0.2480441365
366	0.2479882893
367	0.2479592301
368	0.2479147283
369	0.2478377677
370	0.2477715168
371	0.2477107353
372	0.2476464223
373	0.2475688032
374	0.2474918441
375	0.2474687877
376	0.2473443402
377	0.2473101472
378	0.2472335859
379	0.2471788588
380	0.2471007051
381	0.2470591218
382	0.2470066755
383	0.2469425413
384	0.2469061857
385	0.2468482502
386	0.2467728177
387	0.2467175853
388	0.2466823197
389	0.2466339883
390	0.2465818508
391	0.2465419375
392	0.2464842858
393	0.2464194892
394	0.2463539378
395	0.2463122329
396	0.2461986333
397	0.2460949453
398	0.2460752869
399	0.2460371068
