split_tag,model,n_test,R2,RMSE,MAE,MAPE_pct,train_seconds,gpr_train_rows_used,n_test_with_tier1_correction,tier1_families_fitted,held_out_source
strategy1,ANN,5694,0.9208687394369491,461.26244324391087,236.65868390595338,13.920940657157125,4.189664840698242,,,,
strategy1,RandomForest,5694,0.9654046942386011,304.98792112005975,143.45983459136664,9.35793393796857,8.77634882926941,,,,
strategy1,HistGB,5694,0.967623425459879,295.0458443868197,149.44815219736412,9.217538857157868,1.8572113513946533,,,,
strategy1,PINN,5694,0.8759270252110395,577.5806704661389,323.8949729656555,19.248218110794436,11.471023082733154,,,,
strategy1,GPR,5694,0.8722483036758402,586.080660528463,284.9177917995133,17.42527625205583,0.8227300643920898,800.0,,,
strategy1,Proposed_Hierarchy,5694,0.9678209844474851,294.1442951960363,148.9339095749372,9.152162211114605,2.172903060913086,,97.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling",
strategy1,Proposed_Hierarchy__WITH_tier1,97,0.8608370058506576,368.4227793081714,136.5017041016052,16.83036765498282,,,,,
strategy1,Proposed_Hierarchy__TIER0_ONLY,5597,0.9681533440041258,292.69086834058294,149.1493685584843,9.019093437118675,,,,,
strategy2,ANN,6619,0.5153721027379727,897.4361530293728,635.0054221011724,50.71327930353855,15.153714895248413,,,,
strategy2,RandomForest,6619,0.8753214817082066,455.1925778141172,313.99814130678027,24.05491801974847,8.387659072875977,,,,
strategy2,HistGB,6619,0.8899591497007963,427.63803433139356,289.93590927514055,22.778745813896542,1.9924490451812744,,,,
strategy2,PINN,6619,-64.94867622386383,10468.932437715022,5054.75971710337,644.803796296977,11.830808162689209,,,,
strategy2,GPR,6619,-0.05112551330059034,1321.6809933770444,677.7654330228613,48.754866584243025,0.8647041320800781,800.0,,,
strategy2,Proposed_Hierarchy,6619,0.8899600190737256,427.6363450602551,289.92438128213377,22.77353243756015,2.2386550903320312,,53.0,"pin_fin_pool_boiling,helical_coil,flat_heater_pool_boiling",
strategy2,Proposed_Hierarchy__WITH_tier1,53,0.35260132166198155,60.06254956832682,42.648132727115346,16.75272759493875,,,,,
strategy2,Proposed_Hierarchy__TIER0_ONLY,6566,0.8891570994645684,429.32488031724955,291.92036684007104,22.822131684690657,,,,,
strategy3,ANN,432,-4132.861569557758,22978.83811943065,17887.49972010455,12000.796030613203,12.427244186401367,,,,
strategy3,RandomForest,432,0.21916299996453736,315.8132108329978,225.78390418737587,68.59594536275166,10.904388904571533,,,,
strategy3,HistGB,432,0.17295535475204338,325.0233618207772,223.47936122315073,56.33352773061273,2.0049359798431396,,,,
strategy3,PINN,432,-3906.9206588767634,22342.047452689,17350.80012871051,11329.52173294494,15.951117038726807,,,,
strategy3,GPR,432,-0.8134781709435839,481.2893671061617,293.9765372678576,69.58781382708514,0.8402810096740723,800.0,,,
strategy3,Proposed_Hierarchy,432,0.17295535475204338,325.0233618207772,223.47936122315073,56.33352773061273,2.3562591075897217,,0.0,flat_heater_pool_boiling,
strategy4_fold=helical_coil_r123,ANN,257,-142030.32413448757,29819.196413887483,29819.091439688716,20192.377919316288,16.549177169799805,,,,helical_coil_r123
strategy4_fold=helical_coil_r123,RandomForest,257,-0.5309378610369397,97.89999045383874,81.22544618947347,58.85708051403562,11.927492141723633,,,,helical_coil_r123
