P,G,X,CHF,grid_base_proxy,grid_base_final
100.0,750.0,0.15,1649.0,1444.0,1444.0
100.0,750.0,0.2,1606.0,1357.0,1357.0
100.0,750.0,0.25,1591.0,1414.0,1414.0
100.0,750.0,0.3,1563.0,1612.0,1612.0
100.0,750.0,0.35,1510.0,1573.0,1573.0
100.0,750.0,0.4,1495.0,1581.0,1581.0
100.0,750.0,0.45,1400.0,1425.0,1425.0
100.0,750.0,0.5,1280.0,1293.0,1293.0
100.0,750.0,0.6,595.0,628.0,628.0
100.0,750.0,0.7,415.0,377.0,377.0
100.0,750.0,0.8,243.0,232.0,232.0
100.0,750.0,0.9,206.0,205.0,205.0
100.0,1000.0,-0.5,19441.0,18272.0,18272.0
100.0,1000.0,-0.4,16278.0,15978.0,15978.0
100.0,1000.0,-0.3,13255.0,13455.0,13455.0
100.0,1000.0,-0.2,8232.0,8331.0,8331.0
100.0,1000.0,-0.15,5971.0,5931.0,5931.0
100.0,1000.0,-0.1,4495.0,4515.0,4515.0
100.0,1000.0,-0.05,3533.0,3734.0,3734.0
100.0,1000.0,0.0,3012.0,3350.0,3350.0
100.0,1000.0,0.05,2653.0,2764.0,2764.0
100.0,1000.0,0.1,2349.0,2278.0,2278.0
100.0,1000.0,0.15,2070.0,1791.0,1791.0
100.0,1000.0,0.2,2000.0,1575.0,1575.0
100.0,1000.0,0.25,1980.0,1527.0,1527.0
100.0,1000.0,0.3,1930.0,1729.0,1729.0
100.0,1000.0,0.35,1715.0,1683.0,1683.0
100.0,1000.0,0.4,1550.0,1541.0,1541.0
100.0,1000.0,0.45,1359.0,1339.0,1339.0
100.0,1000.0,0.5,1165.0,1167.0,1167.0
100.0,1000.0,0.6,503.0,506.0,506.0
100.0,1000.0,0.7,322.0,306.0,306.0
100.0,1000.0,0.8,172.0,182.0,182.0
100.0,1000.0,0.9,105.0,105.0,105.0
100.0,1500.0,-0.5,22781.0,22680.0,22680.0
100.0,1500.0,-0.4,19225.0,19225.0,19225.0
100.0,1500.0,-0.3,15465.0,15464.0,15464.0
100.0,1500.0,-0.2,9100.0,9139.0,9139.0
100.0,1500.0,-0.15,6603.0,6842.0,6842.0
100.0,1500.0,-0.1,5358.0,5884.0,5884.0
100.0,1500.0,-0.05,3741.0,4388.0,4388.0
100.0,1500.0,0.0,3524.0,3775.0,3775.0
100.0,1500.0,0.05,3166.0,3066.0,3066.0
100.0,1500.0,0.1,2917.0,2674.0,2674.0
100.0,1500.0,0.15,2635.0,2471.0,2471.0
100.0,1500.0,0.2,2572.0,2162.0,2162.0
100.0,1500.0,0.25,2467.0,2167.0,2167.0
100.0,1500.0,0.3,2378.0,2208.0,2208.0
100.0,1500.0,0.35,1908.0,1961.0,1961.0
100.0,1500.0,0.4,1350.0,1348.0,1348.0
100.0,1500.0,0.45,1005.0,976.0,976.0
100.0,1500.0,0.5,815.0,793.0,793.0
100.0,1500.0,0.6,302.0,306.0,306.0
100.0,1500.0,0.7,210.0,205.0,205.0
100.0,1500.0,0.8,126.0,126.0,126.0
