study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg
Kam2015,,0.024593,81.0,Cr-coated,flat_plate,water,101.325,0.0
Kam2015,,,81.0,Cr-coated,flat_plate,water,101.325,0.0
Zhang2023,980.0,,29.0,Chromium,flat_plate,water,101.2,0.0
Zhang2023,1710.0,,10.0,Alumina,flat_plate,water,101.2,0.0
Zhang2023,1180.0,,85.0,ITO,flat_plate,water,101.2,0.0
Zhang2023,1470.0,,0.0,ZnO nanowires,flat_plate,water,101.2,0.0
Zhang2023,1920.0,,0.0,CuO nanoleaves,flat_plate,water,101.2,0.0
Zhang2023,2220.0,,0.0,SiO2 nanoparticles,flat_plate,water,101.2,0.0
Kim2019,705.0,0.10527,80.8,Bare SS304L,vertical_tube,water,101.325,0.0
Kim2019,,0.098,,Fresh Cr-coated,vertical_tube,water,101.325,0.0
Kim2019,,0.09682,,Fresh Cr-coated,vertical_tube,water,101.325,0.0
Kim2019,,0.09377,,Fresh Cr-coated,vertical_tube,water,101.325,0.0
Kim2019,,0.10653,,Oxidized Cr-coated,vertical_tube,water,101.325,0.0
Kim2019,,0.09637,,Oxidized Cr-coated,vertical_tube,water,101.325,0.0
Kim2019,,0.09294,,Oxidized Cr-coated,vertical_tube,water,101.325,0.0
Jo2019,645.0,0.12,64.0,ZIRLO,flat_plate,water,101.325,0.0
Jo2019,571.0,0.074,77.0,Cr-coated ZIRLO,flat_plate,water,101.325,0.0
Jo2019,630.0,0.067,89.0,FeCrAl-coated ZIRLO,flat_plate,water,101.325,0.0
Jo2019,709.0,0.07,68.0,SS304,flat_plate,water,101.325,0.0
CheolLee2019,858.0,0.1537,63.0,Zircaloy-4,flat_plate,water,101.325,0.0
CheolLee2019,1004.0,0.207,0.0,Zircaloy-4,flat_plate,water,101.325,0.0
CheolLee2019,804.0,0.1877,65.0,ZrSi2-coated Zircaloy-4,flat_plate,water,101.325,0.0
CheolLee2019,813.0,0.2043,0.0,ZrSi2-coated Zircaloy-4,flat_plate,water,101.325,0.0
Seo2015,635.0,0.088,85.0,Zircaloy-4,vertical_tube,water,101.325,0.0
Seo2015,1037.0,0.107,93.0,SiC,vertical_tube,water,101.325,0.0
