method,dataset,n,R2,MAPE,safe_frac,mean_w_ML,mean_novelty
ML_only,L1_NUREG_Lowdermilk,10,0.9927995158192638,3.117568134556602,0.4,,
Katto_only,L1_NUREG_Lowdermilk,10,-8.199942909805378,74.42874409440533,1.0,,
Biasi_only,L1_NUREG_Lowdermilk,10,-1742.6002818765194,99.99999977616338,1.0,,
ADAPTIVE_blend,L1_NUREG_Lowdermilk,10,0.9927995158192638,3.117568134556601,0.4,1.0,1.3294028041031374
ML_only,L2_KAERI_uniform,651,0.5372710352740568,35.67119379878102,0.5852534562211982,,
Katto_only,L2_KAERI_uniform,651,-0.6105861040105205,53.555980996415855,0.9416282642089093,,
Biasi_only,L2_KAERI_uniform,651,0.6284554265327438,30.447687012972978,0.3640552995391705,,
ADAPTIVE_blend,L2_KAERI_uniform,651,0.5372710352740568,35.67119379878102,0.5852534562211982,1.0,0.9008201448189017
ML_only,L3_KAERI_nonuniform,888,-0.07707267972764043,112.59060138736001,0.021396396396396396,,
Katto_only,L3_KAERI_nonuniform,888,0.8207493518411628,21.839403777039117,0.6993243243243243,,
Biasi_only,L3_KAERI_nonuniform,888,-2.933762199777233,365.2556616999933,0.010135135135135136,,
ADAPTIVE_blend,L3_KAERI_nonuniform,888,-0.07707267972764043,112.59060138736001,0.021396396396396396,1.0,1.598092095532556
ML_only,L5_Hardik2016_helical,156,-23.3164513165063,89.26711741953358,1.0,,
Katto_only,L5_Hardik2016_helical,156,-54.37950972914735,95.17122210474052,1.0,,
ADAPTIVE_blend,L5_Hardik2016_helical,156,-23.3164513165063,89.26711741953358,1.0,1.0,1.1073364070904994
ML_only,L6_Helical_R123,257,0.20457474788508534,34.58455975493954,0.4280155642023346,,
Katto_only,L6_Helical_R123,257,-15.721787781237254,61.651238703681244,0.8910505836575876,,
ADAPTIVE_blend,L6_Helical_R123,257,0.20457474788508534,34.584559754939534,0.4280155642023346,1.0,1.2111843466523708
