k,LOPO_R2,LOPO_MAPE
0.25,-1.1265014836219862,59.78560549297104
0.5,-0.8536412852293263,55.468813256224436
1.0,-0.2828042629593117,46.95189677992955
2.0,0.30879446257002263,36.27790403122326
4.0,0.6764929226060536,26.745883107868483
8.0,0.8455642917460122,20.18795293028692
inf,0.9433178411454386,14.542691176256243
