study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)"
Wei et al. 2003,222.3,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wei et al. 2003,310.3,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wei et al. 2003,263.5,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Wei et al. 2003,483.0,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Wei et al. 2003,674.9,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Wei et al. 2003,276.9,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,30.0,120.0,30.0,1.0,0.75,90.0,72.0
Wei et al. 2003,520.2,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,120.0,30.0,1.0,0.75,90.0,72.0
Wei et al. 2003,719.3,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,30.0,120.0,30.0,1.0,0.75,90.0,72.0
Wei et al. 2003,290.7,7.667,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,30.0,200.0,30.0,1.0,0.75,90.0,78.261
Wei et al. 2003,555.2,7.667,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,200.0,30.0,1.0,0.75,90.0,78.261
Wei et al. 2003,808.2,7.667,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,30.0,200.0,30.0,1.0,0.75,90.0,78.261
Wei et al. 2003,287.7,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Wei et al. 2003,451.0,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Wei et al. 2003,546.1,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Wei et al. 2003,297.6,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,50.0,200.0,50.0,1.0,0.75,150.0,120.0
Wei et al. 2003,581.4,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,50.0,200.0,50.0,1.0,0.75,150.0,120.0
Wei et al. 2003,772.9,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,50.0,200.0,50.0,1.0,0.75,150.0,120.0
Wei et al. 2003,324.3,6.4,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,50.0,270.0,50.0,1.0,0.75,150.0,126.563
Wei et al. 2003,613.4,6.4,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,50.0,270.0,50.0,1.0,0.75,150.0,126.563
Wei et al. 2003,835.6,6.4,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,50.0,270.0,50.0,1.0,0.75,150.0,126.563
Wei et al. 2005,167.3,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wei et al. 2005,252.0,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wei et al. 2005,275.9,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Wei et al. 2005,582.6,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Wei et al. 2005,320.2,7.667,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,30.0,200.0,30.0,1.0,0.75,90.0,78.261
Wei et al. 2005,686.2,7.667,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,200.0,30.0,1.0,0.75,90.0,78.261
Zhang et al. 2018,181.5,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhang et al. 2018,232.0,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhang et al. 2018,288.0,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhang et al. 2018,365.5,2.478,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,45.0,1.0,0.815,132.38,78.958
Zhang et al. 2018,465.0,2.478,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,45.0,1.0,0.815,132.38,78.958
Zhang et al. 2018,565.0,2.478,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,45.0,1.0,0.815,132.38,78.958
Zhang et al. 2018,360.0,3.309,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,1.0,0.711,73.923,51.586
Zhang et al. 2018,476.7,3.309,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,1.0,0.711,73.923,51.586
Zhang et al. 2018,546.0,3.309,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,1.0,0.711,73.923,51.586
Zhang et al. 2018,330.9,5.106,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,15.0,1.0,0.487,28.457,22.883
Zhang et al. 2018,429.0,5.106,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,15.0,1.0,0.487,28.457,22.883
Zhang et al. 2018,539.8,5.106,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,15.0,1.0,0.487,28.457,22.883
Zhang et al. 2018,390.0,3.956,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,120.0,45.0,1.0,0.815,132.38,98.917
Zhang et al. 2018,504.0,3.956,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,120.0,45.0,1.0,0.815,132.38,98.917
Zhang et al. 2018,607.2,3.956,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,120.0,45.0,1.0,0.815,132.38,98.917
Zhang et al. 2018,390.7,5.619,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,120.0,30.0,1.0,0.711,73.923,60.767
Zhang et al. 2018,498.2,5.619,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,120.0,30.0,1.0,0.711,73.923,60.767
Zhang et al. 2018,597.1,5.619,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,120.0,30.0,1.0,0.711,73.923,60.767
Zhang et al. 2018,378.0,9.211,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,120.0,15.0,1.0,0.487,28.457,25.367
Zhang et al. 2018,460.9,9.211,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,120.0,15.0,1.0,0.487,28.457,25.367
Zhang et al. 2018,516.2,9.211,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,120.0,15.0,1.0,0.487,28.457,25.367
Zhang et al. 2018,459.9,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Zhang et al. 2018,381.6,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,0.78,0.75,90.0,60.0
Zhang et al. 2018,480.2,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,0.78,0.75,90.0,60.0
Zhang et al. 2018,571.3,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,30.0,60.0,30.0,0.78,0.75,90.0,60.0
Zhang et al. 2018,302.0,5.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,30.0,120.0,30.0,1.0,0.75,90.0,72.0
Zhang et al. 2018,306.0,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,3,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Zhang et al. 2018,630.0,2.2,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,45,50.0,60.0,50.0,1.0,0.75,150.0,81.818
Zhang et al. 2018,245.0,4.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,0,20.0,60.0,20.0,1.0,0.75,60.0,45.0
