dataset,form,model,R2_floored_rand,within_10pct_mean_rand,R2_floored_loso,within_10pct_mean_loso,optimism_gap
D6_Hardik_helical_water,local,Linear,0.9355235848959614,0.7796875,0.8599498330511707,0.7170163479715463,0.07557375184479076
D6_Hardik_helical_water,local,Poly2_Ridge,0.9580733738171958,0.8953125,0.82742187068903,0.7694490204548662,0.13065150312816587
D6_Hardik_helical_water,local,kNN_k5,0.9057606087276576,0.6953125,0.6682377752865568,0.4830484413235933,0.2375228334411008
D6_Hardik_helical_water,local,RandomForest,0.9353262606164238,0.765625,0.5029124918541241,0.4012841197656477,0.43241376876229964
D6_Hardik_helical_water,local,ExtraTrees,0.9503327958874136,0.8484375,0.7644503571068881,0.5214787211331835,0.18588243878052546
D6_Hardik_helical_water,local,HistGB,0.9138342866745645,0.65625,0.6471367487539157,0.4960636349531813,0.26669753792064876
D6_Hardik_helical_water,local,SVR_RBF,0.9487995848124045,0.8859375,0.6882476963436025,0.6117027253100432,0.26055188846880195
D6_Hardik_helical_water,local,MLP,-1.0,0.528125,-1.0,0.1396324258369556,0.0
D6_Hardik_helical_water,local,XGBoost,0.94115946104608,0.80625,0.5835281596103816,0.4319130887126059,0.3576313014356983
D6_Hardik_helical_water,local,LightGBM,0.9157208247963255,0.6984375,0.6497804570706621,0.4879379991028867,0.26594036772566343
D6_Hardik_helical_water,local,CatBoost,0.945816560232418,0.8609375,0.5884451015696267,0.486574778305543,0.3573714586627913
D6_Hardik_helical_water,local,GPR_Matern,0.9750101165487418,0.9390625,0.8455112253057874,0.8200307893584111,0.12949889124295444
D6_Hardik_helical_water,reduced,Linear,0.9402797927306203,0.7625,0.8604968167837831,0.6696066686954908,0.07978297594683725
D6_Hardik_helical_water,reduced,Poly2_Ridge,0.9484530886077072,0.8515625,0.832298798164489,0.7016274858972418,0.11615429044321812
D6_Hardik_helical_water,reduced,kNN_k5,0.9162363790729504,0.66875,0.7146068507833317,0.5702553266394887,0.20162952828961866
D6_Hardik_helical_water,reduced,RandomForest,0.9378626983939986,0.7671875,0.5295806421747292,0.4302420779238993,0.4082820562192694
D6_Hardik_helical_water,reduced,ExtraTrees,0.9546400380442,0.8671875,0.7911748134073685,0.6143523090544604,0.16346522463683144
D6_Hardik_helical_water,reduced,HistGB,0.9132562412671892,0.65,0.6219331018474517,0.4848196382525306,0.29132313941973753
D6_Hardik_helical_water,reduced,SVR_RBF,0.9485421233784552,0.8828125,0.6234224426214084,0.5662032365402542,0.3251196807570468
D6_Hardik_helical_water,reduced,MLP,-1.0,0.5625,-1.0,0.181430525802523,0.0
D6_Hardik_helical_water,reduced,XGBoost,0.9474426887627198,0.8296875,0.6664011417104575,0.4947399387734985,0.28104154705226225
D6_Hardik_helical_water,reduced,LightGBM,0.9144742775987936,0.6796875,0.6042946095705551,0.4284315954374885,0.3101796680282385
D6_Hardik_helical_water,reduced,CatBoost,0.9480866192013576,0.8515625,0.6905903812556166,0.5315870026482291,0.25749623794574106
D6_Hardik_helical_water,reduced,GPR_Matern,0.9515888001861816,0.8890625,0.83568504219109,0.687042284408152,0.11590375799509167
D5_Helical_R123,local,Linear,0.8097154626737761,0.5692307692307692,-0.0928132173650924,0.1734126984126984,0.9025286800388685
D5_Helical_R123,local,Poly2_Ridge,0.9659624489629116,0.9067307692307692,-1.0,0.2472832722832723,1.9659624489629115
D5_Helical_R123,local,kNN_k5,0.8655714709005167,0.4846153846153846,0.2520747417325289,0.1968864468864468,0.6134967291679878
D5_Helical_R123,local,RandomForest,0.9194962247594866,0.6403846153846152,0.1060333566027584,0.1512820512820513,0.8134628681567282
D5_Helical_R123,local,ExtraTrees,0.9380985678850158,0.6730769230769229,0.317590379879075,0.1776251526251526,0.6205081880059408
D5_Helical_R123,local,HistGB,0.9299646304907064,0.698076923076923,0.2055248514713353,0.2139804639804639,0.7244397790193711
