dataset,n,fluid,geometry,form,model,split,n_seeds,n_test_mean,n_train_mean,R2_mean,within_10pct_mean,within_20pct_mean,MAPE_pct_mean,RMSE_mean,safe_side_frac_mean,R2_sd,within_10pct_sd,MAPE_pct_sd
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Linear,80/20,20,11.0,44.0,0.7666787894779855,0.4272727272727273,0.809090909090909,12.51033998531673,34.9312812352624,0.5409090909090908,0.1164058227328252,0.1289027539085269,2.2899981264464895
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Linear,70/30,20,17.0,38.0,0.7658819810177382,0.4588235294117647,0.8147058823529413,12.135665113752337,36.07421809564691,0.5176470588235295,0.1356657106118906,0.0927139912532249,1.8926972118235923
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Poly2_Ridge,80/20,20,11.0,44.0,0.9578716132216076,0.8499999999999999,1.0,5.255571622441034,14.028790416943432,0.509090909090909,0.024362612884969,0.0677418018518722,1.292455591086579
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,Poly2_Ridge,70/30,20,17.0,38.0,0.9566966254441104,0.8352941176470589,0.9911764705882352,5.658307031460035,15.60034026353373,0.4911764705882354,0.0227849326612133,0.0965626684315439,1.4206143063337766
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,kNN_k5,80/20,20,11.0,44.0,0.7976343931577364,0.4863636363636364,0.8136363636363635,14.786061844145385,30.24714763475277,0.4999999999999999,0.1564197340577958,0.1189887797591392,6.111767494697343
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,kNN_k5,70/30,20,17.0,38.0,0.7938139348442271,0.4441176470588235,0.7529411764705883,16.586803214747672,34.04078693561598,0.5323529411764706,0.0775724012503134,0.107071070643006,4.0705435874528835
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,RandomForest,80/20,20,11.0,44.0,0.8743725313691904,0.5681818181818181,0.8454545454545453,10.707881615124752,24.084719651761823,0.5727272727272726,0.0825011902090968,0.1314919242455626,2.789451413767759
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,RandomForest,70/30,20,17.0,38.0,0.8494966265663313,0.5117647058823529,0.7911764705882354,12.368914931301218,28.779598314823765,0.5470588235294118,0.0897876148655739,0.1208541205270638,2.6489011097746284
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,ExtraTrees,80/20,20,11.0,44.0,0.9307016777354968,0.7818181818181819,0.9272727272727274,7.246198598902583,17.688396674283325,0.5181818181818182,0.0546341551297371,0.1456935834883694,3.791842606069015
D7_Hardik_straight_R123,55,R-123,horizontal_tube,local,ExtraTrees,70/30,20,17.0,38.0,0.928769777775147,0.7617647058823529,0.9205882352941176,7.897962414383009,19.592833010336584,0.5529411764705883,0.0479369919687431,0.1087586619488222,3.3722830028079813
