held_out,arm,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac,mean_trust
D1_NRC,PIPE,24443,4140,0.9414305379989124,0.44360348566051633,0.7798551732602381,16.62329510398422,385.94689330970436,0.3136276234504766,0.4839887659528773
D1_NRC,PIPE_nospread,24443,4140,0.9410218733973943,0.44360348566051633,0.7798142617518308,16.803051219349243,387.291012398858,0.313545800433662,0.5025235161700072
D1_NRC,pure_physics,24443,4140,0.9261052373575466,0.5198625373317515,0.8085750521621732,13.637214777753606,433.5096418929673,0.3270465982080759,
D1_NRC,pooled_ML,24443,4140,0.2424640414839998,0.14343574847604632,0.2709978316900544,57.453490900866925,1388.0130787858523,0.5183079000122734,
D2_Zhao2020,PIPE,1865,26718,-0.4717431809861421,0.06863270777479893,0.12815013404825737,46.42606374143218,2408.1148711588235,0.9388739946380698,0.00011433691718225881
D2_Zhao2020,PIPE_nospread,1865,26718,-0.4717431809861421,0.06863270777479893,0.12815013404825737,46.42606374143219,2408.1148711588235,0.9388739946380698,0.00011433691718225881
D2_Zhao2020,pure_physics,1865,26718,-0.4367832142176422,0.03163538873994638,0.11206434316353887,46.78169751114779,2379.3416465639634,0.9619302949061662,
D2_Zhao2020,pooled_ML,1865,26718,-1.4325145737031928,0.00482573726541555,0.02520107238605898,61.14097238482067,3095.9141487394672,0.9941018766756032,
D3_KAERI_uniform,PIPE,651,27932,0.883425578687288,0.6021505376344086,0.8433179723502304,37.16893111957927,502.4859351718713,0.7158218125960062,0.8439082370381465
D3_KAERI_uniform,PIPE_nospread,651,27932,0.883425578687288,0.6021505376344086,0.8433179723502304,37.16893111957927,502.4859351718713,0.7158218125960062,0.846083140243142
D3_KAERI_uniform,pure_physics,651,27932,0.6199600525176616,0.533026113671275,0.8279569892473119,51.658606198291665,907.270731364315,0.7019969278033794,
D3_KAERI_uniform,pooled_ML,651,27932,0.852395719890682,0.4915514592933948,0.7526881720430108,38.873660500131976,565.4207619597066,0.6129032258064516,
D4_KAERI_nonuniform,PIPE,888,27695,0.9734607312346147,0.47184684684684686,0.7916666666666666,18.69293337481387,384.7126611932656,0.42905405405405406,0.8493230471113713
D4_KAERI_nonuniform,PIPE_nospread,888,27695,0.9734607312346147,0.47184684684684686,0.7916666666666666,18.69293337481387,384.71266119326555,0.42905405405405406,0.8493230471113713
D4_KAERI_nonuniform,pure_physics,888,27695,0.797021580505346,0.42680180180180183,0.7274774774774775,27.49262921396675,1063.9395087884989,0.4177927927927928,
D4_KAERI_nonuniform,pooled_ML,888,27695,0.8414366975497978,0.25788288288288286,0.5743243243243243,23.219117220941396,940.358261554427,0.15202702702702703,
D5_Helical_R123,PIPE,257,28326,0.46463640652561977,0.1828793774319066,0.377431906614786,25.632870104494337,57.893297225968624,0.7120622568093385,0.04369385494897473
D5_Helical_R123,PIPE_nospread,257,28326,0.46463640652561977,0.1828793774319066,0.377431906614786,25.632870104494337,57.893297225968624,0.7120622568093385,0.04369385494897473
D5_Helical_R123,pure_physics,257,28326,0.05104739207821951,0.10116731517509728,0.23346303501945526,33.003368548206794,77.07723548670488,0.7159533073929961,
D5_Helical_R123,pooled_ML,257,28326,-307.703693027549,0.0,0.0,673.6080167583574,1390.1919845749032,0.0,
D6_Hardik_helical_water,PIPE,156,28427,0.6801012203790991,0.2564102564102564,0.5384615384615384,21.954076832925573,348.76852145814655,0.6666666666666666,0.0
D6_Hardik_helical_water,PIPE_nospread,156,28427,0.680101220379099,0.2564102564102564,0.5384615384615384,21.95407683292557,348.76852145814655,0.6666666666666666,0.0
D6_Hardik_helical_water,pure_physics,156,28427,-0.16125883046873413,0.38461538461538464,0.5705128205128205,32.043628643787365,664.500792648689,0.3333333333333333,
D6_Hardik_helical_water,pooled_ML,156,28427,-1.2140837862075786,0.03205128205128205,0.10897435897435898,43.83723664442222,917.5463551690256,0.9038461538461539,
D7_Hardik_straight_R123,PIPE,55,28528,0.7923553271094853,0.41818181818181815,0.7090909090909091,18.94849791407565,34.01880647032554,0.18181818181818182,0.7153884682129216
D7_Hardik_straight_R123,PIPE_nospread,55,28528,0.7923553271094853,0.41818181818181815,0.7090909090909091,18.94849791407565,34.01880647032554,0.18181818181818182,0.7153884682129216
D7_Hardik_straight_R123,pure_physics,55,28528,0.636181943386427,0.2,0.5272727272727272,28.161430281341765,45.029881131145565,0.05454545454545454,
D7_Hardik_straight_R123,pooled_ML,55,28528,-868.6470408602748,0.0,0.0,1217.4101248660306,2201.558283981283,0.0,
D8_Pioro_R134a,PIPE,268,28315,-0.00546272479902532,0.15671641791044777,0.2873134328358209,115.35224801917825,94.12794543514862,0.3805970149253731,0.0
D8_Pioro_R134a,PIPE_nospread,268,28315,-0.00546272479902532,0.15671641791044777,0.2873134328358209,115.35224801917825,94.12794543514862,0.3805970149253731,0.0
D8_Pioro_R134a,pure_physics,268,28315,-0.09740839667462398,0.11194029850746269,0.2126865671641791,80.75581443288006,98.33762864334149,0.6119402985074627,
D8_Pioro_R134a,pooled_ML,268,28315,-423.60612115803923,0.0,0.0,2153.6520167335125,1934.3217593299044,0.0,
