held_out,arm,mean_w_physics,frac_flagged_unseen,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac
D1_NRC,global_model_no_routing,0.40319298409691895,0.2018573824816921,24443,4140,0.4711302536975408,0.17951969889129812,0.3345743157550219,47.2858978755236,1159.7551083139876,0.6280734770690996
D1_NRC,pure_physics_Katto,0.40319298409691895,0.2018573824816921,24443,4140,0.9261052373575466,0.5198625373317515,0.8085750521621732,13.637214777753606,433.5096418929673,0.3270465982080759
D1_NRC,ROUTER_v1_dimensionless,0.40319298409691895,0.2018573824816921,24443,4140,0.7358200591864745,0.25876529067626725,0.47481896657529765,29.217229765168018,819.6753056601632,0.5863437384936383
D1_NRC,ROUTER_v2_identity,0.40319298409691895,0.2018573824816921,24443,4140,0.4972005079923354,0.1975207625905167,0.3699627705273493,40.86395688565953,1130.8092364473798,0.6098269443194371
D1_NRC,oracle_upper_bound,0.40319298409691895,0.2018573824816921,24443,4140,0.9528280366124782,0.6049993863273739,0.8607372253814998,10.950934332970188,346.364926699889,0.37323569119993455
D2_Zhao2020,global_model_no_routing,0.5356696090254928,0.9549597855227882,1865,26718,0.7008917521545539,0.35710455764075066,0.6171581769436997,18.711541480942277,1085.6138564977875,0.4718498659517426
D2_Zhao2020,pure_physics_Katto,0.5356696090254928,0.9549597855227882,1865,26718,-0.4367832142176422,0.03163538873994638,0.11206434316353887,46.78169751114779,2379.3416465639634,0.9619302949061662
D2_Zhao2020,ROUTER_v1_dimensionless,0.5356696090254928,0.9549597855227882,1865,26718,0.23181817619291245,0.16836461126005361,0.33404825737265414,30.01439950935608,1739.7754451765982,0.8916890080428954
D2_Zhao2020,ROUTER_v2_identity,0.5356696090254928,0.9549597855227882,1865,26718,0.7032400671254169,0.3319034852546917,0.5994638069705094,19.299752433303517,1081.3438525330841,0.4938337801608579
D2_Zhao2020,oracle_upper_bound,0.5356696090254928,0.9549597855227882,1865,26718,0.8037351287933238,0.38820375335120644,0.6900804289544236,15.412239531932073,879.391918808435,0.5447721179624665
D3_KAERI_uniform,global_model_no_routing,0.2859612250880301,0.006144393241167435,651,27932,0.7419646575917093,0.39477726574500765,0.6374807987711214,25.17472115623195,747.5872279306544,0.6774193548387096
D3_KAERI_uniform,pure_physics_Katto,0.2859612250880301,0.006144393241167435,651,27932,0.6199600525176616,0.533026113671275,0.8279569892473119,51.658606198291665,907.270731364315,0.7019969278033794
D3_KAERI_uniform,ROUTER_v1_dimensionless,0.2859612250880301,0.006144393241167435,651,27932,0.723889441356999,0.4377880184331797,0.7112135176651305,30.48835173312043,773.3280860447741,0.6973886328725039
D3_KAERI_uniform,ROUTER_v2_identity,0.2859612250880301,0.006144393241167435,651,27932,0.7219882682225963,0.39477726574500765,0.6344086021505376,25.21315431054001,775.9859134520592,0.6774193548387096
D3_KAERI_uniform,oracle_upper_bound,0.2859612250880301,0.006144393241167435,651,27932,0.9132935427243157,0.6697388632872504,0.8571428571428571,17.170467692384957,433.35917613099735,0.6589861751152074
D4_KAERI_nonuniform,global_model_no_routing,0.28395664690601313,0.010135135135135136,888,27695,0.3016983090087203,0.006756756756756757,0.013513513513513514,147.4534107848107,1973.3928487953854,0.07995495495495496
D4_KAERI_nonuniform,pure_physics_Katto,0.28395664690601313,0.010135135135135136,888,27695,0.797021580505346,0.42680180180180183,0.7274774774774775,27.49262921396675,1063.9395087884989,0.4177927927927928
D4_KAERI_nonuniform,ROUTER_v1_dimensionless,0.28395664690601313,0.010135135135135136,888,27695,0.7351554052520959,0.009009009009009009,0.03153153153153153,95.39637596135795,1215.3113674239355,0.06981981981981981
D4_KAERI_nonuniform,ROUTER_v2_identity,0.28395664690601313,0.010135135135135136,888,27695,0.36876667103937366,0.007882882882882882,0.015765765765765764,147.34473594682106,1876.2338367215102,0.07995495495495496
D4_KAERI_nonuniform,oracle_upper_bound,0.28395664690601313,0.010135135135135136,888,27695,0.873576536239897,0.43355855855855857,0.7398648648648649,15.28428962274273,839.6646035802357,0.42905405405405406
D5_Helical_R123,global_model_no_routing,0.5010336066858717,0.5175097276264592,257,28326,-155.71093962381747,0.01556420233463035,0.05058365758754864,418.1955513060756,990.4978221685216,0.07392996108949416
D5_Helical_R123,pure_physics_Katto,0.5010336066858717,0.5175097276264592,257,28326,0.05104739207821951,0.10116731517509728,0.23346303501945526,33.003368548206794,77.07723548670488,0.7159533073929961
D5_Helical_R123,ROUTER_v1_dimensionless,0.5010336066858717,0.5175097276264592,257,28326,-7.543161562084926,0.03501945525291829,0.10116731517509728,104.40509965205467,231.26673943072146,0.11673151750972763
