dataset,n,fluid,model,split,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac,n_seeds,R2_sd
D6_Hardik_helical_water,156,water,BOUND_Katto_x3.0,LOSO,26.0,130.0,0.1583093976019347,0.48991275578145155,0.7482361940151919,17.499218882169316,276.34218971922684,0.4795775862268182,6.0,1.4115975061039847
D6_Hardik_helical_water,156,water,BOUND_Katto_unbounded,LOSO,26.0,130.0,0.1583093976019347,0.48991275578145155,0.7482361940151919,17.499218882169316,276.34218971922684,0.4795775862268182,6.0,1.4115975061039847
D5_Helical_R123,257,R-123,PHYS_KattoOhno,all_rows_no_fitting,257.0,0.0,0.05104739207821951,0.10116731517509728,0.23346303501945526,33.003368548206794,77.07723548670488,0.7159533073929961,,
D5_Helical_R123,257,R-123,PIML_dimensionless,80/20,52.0,205.0,0.9597872193215113,0.7769230769230769,0.9634615384615384,6.784941353283773,15.2811379809295,0.4980769230769231,10.0,0.011500638090075016
D5_Helical_R123,257,R-123,BOUND_Katto_x1.5,80/20,52.0,205.0,0.8063741384960462,0.4865384615384615,0.7788461538461539,13.192676436377713,33.803510386631054,0.676923076923077,10.0,0.040776280492761094
D5_Helical_R123,257,R-123,BOUND_Katto_x2.0,80/20,52.0,205.0,0.9325737824619351,0.6826923076923077,0.9019230769230768,9.324864355386811,19.92962802423137,0.5442307692307693,10.0,0.0176216103496068
D5_Helical_R123,257,R-123,BOUND_Katto_x3.0,80/20,52.0,205.0,0.9374357222407552,0.6942307692307692,0.9019230769230768,9.21008793775749,19.197621837945285,0.5134615384615384,10.0,0.015272823967912495
D5_Helical_R123,257,R-123,BOUND_Katto_unbounded,80/20,52.0,205.0,0.9374357222407552,0.6942307692307692,0.9019230769230768,9.21008793775749,19.197621837945285,0.5134615384615384,10.0,0.015272823967912495
D5_Helical_R123,257,R-123,PIML_dimensionless,70/30,78.0,179.0,0.9544666100504438,0.7397435897435898,0.9564102564102563,7.207036418059668,16.436002103534747,0.523076923076923,10.0,0.012728074357943552
D5_Helical_R123,257,R-123,BOUND_Katto_x1.5,70/30,78.0,179.0,0.7956695096002823,0.458974358974359,0.7692307692307693,13.542250666252713,34.95441735455671,0.6705128205128206,10.0,0.03861816245061783
D5_Helical_R123,257,R-123,BOUND_Katto_x2.0,70/30,78.0,179.0,0.9250091122018553,0.6423076923076924,0.8884615384615385,9.71268523578866,21.216677489960638,0.558974358974359,10.0,0.013586419745786931
D5_Helical_R123,257,R-123,BOUND_Katto_x3.0,70/30,78.0,179.0,0.9309272883416491,0.6564102564102564,0.8884615384615385,9.554256900408,20.380410411976797,0.5346153846153846,10.0,0.012297162713063286
D5_Helical_R123,257,R-123,BOUND_Katto_unbounded,70/30,78.0,179.0,0.9309272883416491,0.6564102564102564,0.8884615384615385,9.554256900408,20.380410411976797,0.5346153846153846,10.0,0.012297162713063286
D5_Helical_R123,257,R-123,PIML_dimensionless,LOSO,128.5,128.5,-0.8907337339414212,0.05989010989010989,0.14044566544566545,41.287101605542446,84.3068211391512,0.49502442002442,2.0,1.5672904686189173
D5_Helical_R123,257,R-123,BOUND_Katto_x1.5,LOSO,128.5,128.5,-0.6824586815443894,0.11843711843711843,0.2496947496947497,38.27670037218371,81.46803585574347,0.4971916971916972,2.0,1.2227954792243765
