held,variant,R2,w10
D1_NRC,pure_physics,0.9261052373575466,51.98625373317515
D1_NRC,baseline,0.9426370289692557,42.74434398396269
D1_NRC,weighted,0.9139767375635243,35.26162909626478
D1_NRC,abs_loss,0.9520051902521016,50.591171296485705
D1_NRC,stacked,0.9516762754276501,48.42695250173874
D1_NRC,weighted+stacked,0.9498930584554883,45.309495561101336
D1_NRC,weighted+abs,0.9341128887442893,41.57836599435421
D1_NRC,all_three,0.9593932577054762,49.26154727324796
D2_Zhao2020,pure_physics,-0.4367832142176422,3.1635388739946384
D2_Zhao2020,baseline,-0.6159833878725183,6.327077747989277
D2_Zhao2020,weighted,-0.6342961191686942,5.093833780160858
D2_Zhao2020,abs_loss,-0.5817458072015349,6.327077747989277
D2_Zhao2020,stacked,-0.46253122137453806,5.254691689008043
D2_Zhao2020,weighted+stacked,-0.4388736684723662,6.005361930294907
D2_Zhao2020,weighted+abs,-0.629926179690395,6.005361930294907
D2_Zhao2020,all_three,-0.3927575817446842,5.898123324396782
D3_KAERI_uniform,pure_physics,0.6199600525176616,53.3026113671275
D3_KAERI_uniform,baseline,0.8814830241863801,61.75115207373272
D3_KAERI_uniform,weighted,0.8875292925914811,58.21812596006144
D3_KAERI_uniform,abs_loss,0.8809813122130826,61.904761904761905
D3_KAERI_uniform,stacked,0.9054813341625135,70.6605222734255
D3_KAERI_uniform,weighted+stacked,0.889782832747017,66.05222734254991
D3_KAERI_uniform,weighted+abs,0.8783334764456525,59.13978494623656
D3_KAERI_uniform,all_three,0.9026719745759682,69.12442396313364
D4_KAERI_nonuniform,pure_physics,0.797021580505346,42.68018018018018
D4_KAERI_nonuniform,baseline,0.97486401797022,46.62162162162162
D4_KAERI_nonuniform,weighted,0.9696208657367779,46.50900900900901
D4_KAERI_nonuniform,abs_loss,0.9734657632423791,46.846846846846844
D4_KAERI_nonuniform,stacked,0.9529816696152361,51.238738738738746
D4_KAERI_nonuniform,weighted+stacked,0.9373235596241954,50.45045045045045
D4_KAERI_nonuniform,weighted+abs,0.973392074063881,46.95945945945946
D4_KAERI_nonuniform,all_three,0.9434543472821666,51.01351351351351
D5_Helical_R123,pure_physics,0.05104739207821951,10.116731517509727
D5_Helical_R123,baseline,0.43695325292253284,19.844357976653697
D5_Helical_R123,weighted,0.399790772976928,19.06614785992218
D5_Helical_R123,abs_loss,0.42754083948629185,20.233463035019454
D5_Helical_R123,stacked,0.13824308332509072,14.785992217898833
D5_Helical_R123,weighted+stacked,0.19443840423844194,15.56420233463035
D5_Helical_R123,weighted+abs,0.4015584793021073,20.622568093385212
D5_Helical_R123,all_three,0.24000570927512688,16.731517509727624
D6_Hardik_helical_water,pure_physics,-0.16125883046873413,38.46153846153847
D6_Hardik_helical_water,baseline,0.7644118423378921,35.8974358974359
D6_Hardik_helical_water,weighted,0.7270853643899601,31.41025641025641
D6_Hardik_helical_water,abs_loss,0.6046500088853785,23.717948717948715
D6_Hardik_helical_water,stacked,0.6545120102277865,23.076923076923077
D6_Hardik_helical_water,weighted+stacked,0.6316173895847987,26.282051282051285
D6_Hardik_helical_water,weighted+abs,0.6978619975453122,32.05128205128205
D6_Hardik_helical_water,all_three,0.6689830815779303,25.0
D7_Hardik_straight_R123,pure_physics,0.636181943386427,20.0
D7_Hardik_straight_R123,baseline,0.7898386244953887,41.81818181818181
D7_Hardik_straight_R123,weighted,0.8071320074795794,27.27272727272727
D7_Hardik_straight_R123,abs_loss,0.7944600450478704,36.36363636363637
D7_Hardik_straight_R123,stacked,0.8216870730767469,30.909090909090907
D7_Hardik_straight_R123,weighted+stacked,0.8094533462116196,21.818181818181817
D7_Hardik_straight_R123,weighted+abs,0.8108393490143327,32.72727272727273
D7_Hardik_straight_R123,all_three,0.8251770789513875,29.09090909090909
D8_Pioro_R134a,pure_physics,-0.09740839667462398,11.194029850746269
D8_Pioro_R134a,baseline,0.02598088779777319,15.298507462686567
D8_Pioro_R134a,weighted,-0.0007271198914395871,15.671641791044777
D8_Pioro_R134a,abs_loss,0.05226370448676898,15.671641791044777
D8_Pioro_R134a,stacked,-0.32014983172430433,9.701492537313433
D8_Pioro_R134a,weighted+stacked,-0.21863128232782048,9.328358208955224
D8_Pioro_R134a,weighted+abs,0.002494862421793087,14.55223880597015
D8_Pioro_R134a,all_three,-0.25112856437998876,9.328358208955224
