held,variant,R2,w10
D1_NRC,baseline,0.9426370289692557,42.74434398396269
D1_NRC,stack_ind,0.9594255603632625,52.407642269770484
D1_NRC,stack_noind,0.9554477773134593,50.32524649183815
D1_NRC,we_d,0.9389155420690076,43.709855582375326
D1_NRC,we_d+stack_ind,0.9535945174458743,52.01489178906026
D1_NRC,bb_ens,0.9426370289692557,42.74434398396269
D1_NRC,bo_target,0.7686946124066956,29.24763736038948
D2_Zhao2020,baseline,-0.6159833878725189,6.327077747989277
D2_Zhao2020,stack_ind,-0.3203810302115415,2.89544235924933
D2_Zhao2020,stack_noind,-0.34584250056460664,4.557640750670242
D2_Zhao2020,we_d,-0.5555582468814955,5.522788203753351
D2_Zhao2020,we_d+stack_ind,-0.2869543556140093,2.788203753351206
D2_Zhao2020,bb_ens,-0.6159833878725189,6.327077747989277
D2_Zhao2020,bo_target,-0.5620431184194088,4.450402144772117
D3_KAERI_uniform,baseline,0.8814830241863802,61.75115207373272
D3_KAERI_uniform,stack_ind,0.9240052606392609,71.7357910906298
D3_KAERI_uniform,stack_noind,0.9252474338552095,68.04915514592935
D3_KAERI_uniform,we_d,0.890865811588651,63.44086021505376
D3_KAERI_uniform,we_d+stack_ind,0.9230988971139842,71.42857142857143
D3_KAERI_uniform,bb_ens,0.8814830241863802,61.75115207373272
D3_KAERI_uniform,bo_target,0.8865065836291448,54.07066052227343
D4_KAERI_nonuniform,baseline,0.97486401797022,46.62162162162162
D4_KAERI_nonuniform,stack_ind,0.7595547131023114,4.504504504504505
D4_KAERI_nonuniform,stack_noind,0.9037944660589178,35.36036036036036
D4_KAERI_nonuniform,we_d,0.9766366180049869,50.0
D4_KAERI_nonuniform,we_d+stack_ind,0.7353506204973499,5.405405405405405
D4_KAERI_nonuniform,bb_ens,0.97486401797022,46.62162162162162
D4_KAERI_nonuniform,bo_target,0.9736387886402836,47.2972972972973
D5_Helical_R123,baseline,0.43695325292253284,19.844357976653697
D5_Helical_R123,stack_ind,-0.6087255143962418,12.062256809338521
D5_Helical_R123,stack_noind,-0.08007611697660733,12.840466926070038
D5_Helical_R123,we_d,0.43139898221138173,19.45525291828794
D5_Helical_R123,we_d+stack_ind,-0.5326111535872737,12.840466926070038
D5_Helical_R123,bb_ens,0.43695325292253295,19.844357976653697
D5_Helical_R123,bo_target,0.07901234147906977,13.618677042801556
D6_Hardik_helical_water,baseline,0.7644118423378921,35.8974358974359
D6_Hardik_helical_water,stack_ind,0.560845725282777,16.025641025641026
D6_Hardik_helical_water,stack_noind,0.6185043524086283,17.307692307692307
D6_Hardik_helical_water,we_d,0.6559471171583837,21.794871794871796
D6_Hardik_helical_water,we_d+stack_ind,0.5613046846240854,14.102564102564102
D6_Hardik_helical_water,bb_ens,0.7644118423378921,35.8974358974359
D6_Hardik_helical_water,bo_target,0.6664579309902462,25.64102564102564
D7_Hardik_straight_R123,baseline,0.7898386244953888,41.81818181818181
D7_Hardik_straight_R123,stack_ind,0.7853846029197739,25.454545454545453
D7_Hardik_straight_R123,stack_noind,0.8358687490703802,30.909090909090907
D7_Hardik_straight_R123,we_d,0.806277268491737,40.0
D7_Hardik_straight_R123,we_d+stack_ind,0.7673150328168525,30.909090909090907
D7_Hardik_straight_R123,bb_ens,0.7898386244953888,41.81818181818181
D7_Hardik_straight_R123,bo_target,0.7391238341810477,41.81818181818181
D8_Pioro_R134a,baseline,0.025980887797773522,15.298507462686567
D8_Pioro_R134a,stack_ind,-0.8924187366138963,4.477611940298507
D8_Pioro_R134a,stack_noind,-0.5628741104594484,6.343283582089552
D8_Pioro_R134a,we_d,0.0602911765939661,13.432835820895523
D8_Pioro_R134a,we_d+stack_ind,-0.9944416076436222,5.223880597014925
D8_Pioro_R134a,bb_ens,0.02598088779777319,15.298507462686567
D8_Pioro_R134a,bo_target,0.07993422562313734,13.432835820895523
