dataset,split,n,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac,coverage90
D1_NRC,80/20,24443,4889.0,19554.0,0.9936036113738782,0.9620372264266722,0.9902024953978318,3.1942241256903383,126.05037858619444,0.5104520351810186,0.9481079975455102
D1_NRC,70/30,24443,7333.0,17110.0,0.9933299667168842,0.9584481112777853,0.9890495022501025,3.3187750611289317,128.98511380076621,0.5081412791490523,0.946488476748943
D2_Zhao2020,80/20,1865,373.0,1492.0,0.8462488076270134,0.6324396782841823,0.8324396782841823,11.034377755805258,796.4965758508262,0.511260053619303,0.9554959785522789
D2_Zhao2020,70/30,1865,560.0,1305.0,0.8305205863857299,0.61875,0.8262500000000002,11.348029114111094,827.982411725376,0.5069642857142858,0.9633928571428572
D3_KAERI_uniform,80/20,651,131.0,520.0,0.9455378565226795,0.8938931297709922,0.9290076335877864,22.77627855685845,328.04623270364993,0.5022900763358779,0.9229007633587788
D3_KAERI_uniform,70/30,651,196.0,455.0,0.9471674782585652,0.883673469387755,0.9301020408163266,24.540720934845304,340.1662387364015,0.48622448979591837,0.9275510204081634
D4_KAERI_nonuniform,80/20,888,178.0,710.0,0.9701957953243113,0.8252808988764044,0.9410112359550562,13.357231668565158,362.83163950813935,0.5162921348314606,0.9387640449438204
D4_KAERI_nonuniform,70/30,888,267.0,621.0,0.9736068365274143,0.8269662921348313,0.9393258426966291,12.701602106709355,352.4820491290894,0.5011235955056179,0.9471910112359551
D5_Helical_R123,80/20,257,52.0,205.0,0.9066069881028758,0.6442307692307692,0.8615384615384615,9.410791510920841,23.23838277659938,0.5442307692307693,0.9403846153846152
D5_Helical_R123,70/30,257,78.0,179.0,0.8863203419736081,0.6358974358974359,0.8474358974358974,10.114486761263427,25.786465094587605,0.5564102564102564,0.9371794871794872
D6_Hardik_helical_water,80/20,156,32.0,124.0,0.8869102513345505,0.79375,0.890625,8.722931647345515,175.91366341346043,0.546875,0.95
D6_Hardik_helical_water,70/30,156,47.0,109.0,0.8813097243766549,0.7553191489361702,0.8680851063829789,9.62637410224459,189.81784897307824,0.5063829787234043,0.9744680851063829
D7_Hardik_straight_R123,80/20,55,11.0,44.0,0.9009052155576978,0.6454545454545454,0.8636363636363636,10.108955732062013,21.250577721048558,0.5636363636363637,0.9545454545454545
D7_Hardik_straight_R123,70/30,55,17.0,38.0,0.8482513788047596,0.5352941176470588,0.7882352941176471,13.819037789161275,27.502458539411144,0.5176470588235293,0.9411764705882353
D8_Pioro_R134a,80/20,268,54.0,214.0,0.06611576005704695,0.11851851851851851,0.2407407407407407,79.8582950238987,86.27243134307746,0.5425925925925925,0.9518518518518517
D8_Pioro_R134a,70/30,268,81.0,187.0,0.05847876829110743,0.1382716049382716,0.2691358024691358,74.74820669115212,87.60183105371605,0.5617283950617284,0.9481481481481481
