dataset,study,boiling_mode,fluid,D_m,L_m,P_kPa,G_kg_m2s,X,dHin_kJkg,Ra_um,CA_deg,orient_deg,CHF_kW_m2,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,276.9,0,30.0,120.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,520.2,25,30.0,120.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,719.3,45,30.0,120.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,7.667,,0.0,290.7,0,30.0,200.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,7.667,,0.0,555.2,25,30.0,200.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,7.667,,0.0,808.2,45,30.0,200.0,30.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,2.2,,0.0,287.7,0,50.0,60.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,2.2,,0.0,451.0,25,50.0,60.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,2.2,,0.0,546.1,45,50.0,60.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,297.6,0,50.0,200.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,581.4,25,50.0,200.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,5.0,,0.0,772.9,45,50.0,200.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,6.4,,0.0,324.3,0,50.0,270.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,6.4,,0.0,613.4,25,50.0,270.0,50.0,1.0,0.75
PinFin,Wei et al. 2003,pool,FC-72,,,101.325,,,,6.4,,0.0,835.6,45,50.0,270.0,50.0,1.0,0.75
PinFin,Wei et al. 2005,pool,FC-72,,,101.325,,,,1.0,,0.0,167.3,3,0.0,0.0,0.0,0.0,0.0
PinFin,Wei et al. 2005,pool,FC-72,,,101.325,,,,1.0,,0.0,252.0,35,0.0,0.0,0.0,0.0,0.0
PinFin,Wei et al. 2005,pool,FC-72,,,101.325,,,,3.0,,0.0,275.9,3,30.0,60.0,30.0,1.0,0.75
PinFin,Wei et al. 2005,pool,FC-72,,,101.325,,,,3.0,,0.0,582.6,35,30.0,60.0,30.0,1.0,0.75
PinFin,Wei et al. 2005,pool,FC-72,,,101.325,,,,7.667,,0.0,320.2,3,30.0,200.0,30.0,1.0,0.75
PinFin,Wei et al. 2005,pool,FC-72,,,101.325,,,,7.667,,0.0,686.2,35,30.0,200.0,30.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,181.5,15,0.0,0.0,0.0,0.0,0.0
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,232.0,25,0.0,0.0,0.0,0.0,0.0
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,1.0,,0.0,288.0,35,0.0,0.0,0.0,0.0,0.0
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,2.478,,0.0,365.5,15,30.0,60.0,45.0,1.0,0.815
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,2.478,,0.0,465.0,25,30.0,60.0,45.0,1.0,0.815
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,2.478,,0.0,565.0,35,30.0,60.0,45.0,1.0,0.815
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.309,,0.0,360.0,15,30.0,60.0,30.0,1.0,0.711
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.309,,0.0,476.7,25,30.0,60.0,30.0,1.0,0.711
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.309,,0.0,546.0,35,30.0,60.0,30.0,1.0,0.711
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.106,,0.0,330.9,15,30.0,60.0,15.0,1.0,0.487
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.106,,0.0,429.0,25,30.0,60.0,15.0,1.0,0.487
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.106,,0.0,539.8,35,30.0,60.0,15.0,1.0,0.487
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.956,,0.0,390.0,15,30.0,120.0,45.0,1.0,0.815
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.956,,0.0,504.0,25,30.0,120.0,45.0,1.0,0.815
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.956,,0.0,607.2,35,30.0,120.0,45.0,1.0,0.815
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.619,,0.0,390.7,15,30.0,120.0,30.0,1.0,0.711
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.619,,0.0,498.2,25,30.0,120.0,30.0,1.0,0.711
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.619,,0.0,597.1,35,30.0,120.0,30.0,1.0,0.711
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,9.211,,0.0,378.0,15,30.0,120.0,15.0,1.0,0.487
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,9.211,,0.0,460.9,25,30.0,120.0,15.0,1.0,0.487
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,9.211,,0.0,516.2,35,30.0,120.0,15.0,1.0,0.487
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,459.9,25,30.0,60.0,30.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,381.6,15,30.0,60.0,30.0,0.78,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,480.2,25,30.0,60.0,30.0,0.78,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,3.0,,0.0,571.3,45,30.0,60.0,30.0,0.78,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.0,,0.0,302.0,3,30.0,120.0,30.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,2.2,,0.0,306.0,3,50.0,60.0,50.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,2.2,,0.0,630.0,45,50.0,60.0,50.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,4.0,,0.0,245.0,0,20.0,60.0,20.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,4.0,,0.0,430.0,25,20.0,60.0,20.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,4.0,,0.0,615.0,45,20.0,60.0,20.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,5.0,,0.0,322.0,3,50.0,200.0,50.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,6.4,,0.0,362.0,3,50.0,270.0,50.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,7.0,,0.0,263.0,0,10.0,60.0,10.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,7.0,,0.0,286.0,3,10.0,60.0,10.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,7.0,,0.0,450.0,25,10.0,60.0,10.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,7.0,,0.0,640.0,45,10.0,60.0,10.0,1.0,0.75
PinFin,Zhang et al. 2018,pool,FC-72,,,101.325,,,,7.667,,0.0,308.0,3,30.0,200.0,30.0,1.0,0.75
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,1.0,,0.0,160.7,0,0.0,0.0,0.0,0.0,0.0
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,1.0,,0.0,163.8,3,0.0,0.0,0.0,0.0,0.0
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,1.0,,0.0,221.4,25,0.0,0.0,0.0,0.0,0.0
PinFin,Honda et al. 2002,pool,FC-72,,,101.325,,,,1.0,,0.0,309.7,45,0.0,0.0,0.0,0.0,0.0
