table,fluid,geometry,tube_d_mm,heated_length_mm,P_bar,inlet_temperature_C,G_kg_m2_s,X,CHF_kW_m2,coil,heat_supply_W
D.4,R123,helical,,984.0,5.63,,947.0,0.799,228.2,Coil_6,3809.0
D.4,R123,helical,,984.0,6.0,,1120.0,0.743,261.6,Coil_6,4367.0
D.4,R123,helical,,984.0,5.04,,1175.0,0.817,283.6,Coil_6,4734.0
D.4,R123,helical,,984.0,6.03,,1376.0,0.671,303.4,Coil_6,5066.0
D.4,R123,helical,,984.0,6.13,,1477.0,0.621,312.0,Coil_6,5209.0
D.4,R123,helical,,984.0,6.37,,1719.0,0.565,347.4,Coil_6,5800.0
D.4,R123,helical,,984.0,6.72,,2029.0,0.445,369.0,Coil_6,6159.0
D.4,R123,helical,,476.0,4.88,,360.0,0.769,173.4,Coil_6,1400.0
D.4,R123,helical,,476.0,5.18,,611.0,0.44,215.3,Coil_6,1739.0
D.4,R123,helical,,476.0,5.38,,804.0,0.341,254.4,Coil_6,2054.0
D.4,R123,helical,,476.0,5.66,,1058.0,0.248,295.9,Coil_6,2390.0
D.4,R123,helical,,476.0,5.94,,1062.0,0.23,295.9,Coil_6,2390.0
D.4,R123,helical,,476.0,5.43,,1277.0,0.154,305.3,Coil_6,2465.0
D.4,R123,helical,,476.0,5.63,,1531.0,0.126,352.7,Coil_6,2848.0
D.4,R123,helical,,476.0,5.83,,1765.0,0.095,389.2,Coil_6,3143.0
