Angle,L_effective_mm,Width_mm,Pnet,CHF_MW_m2,Tsat_Tpool,Surface_tension,rho_l,Cp,Kl,l_w,mu_l,alpha,Ja,R,orientation,geometry_group
90,100,20,9274.080840727476,4.637040420363738,72.68176651414501,0.07095635330282901,996.587340434559,4181.457559181352,0.6105414736628343,5.0,0.0008338908253601978,0.17509682928131348,0.1345843460202652,7.42160683112564,Ver,ver|90|100|20
0,100,20,8369.306124014061,4.184653062007031,69.88256398518001,0.070396512797036,995.8038240284851,4181.10870231202,0.6151255689437141,5.0,0.0007924940077058323,0.18564204076953247,0.12939028535736502,7.448127879101772,up,up|0|100|20
180,100,20,4984.1231358754185,2.4920615679377094,66.47426210792,0.06971485242158401,994.7863452991869,4181.277081212482,0.6204955812051964,5.0,0.0007439934822586276,0.19946220428396422,0.12308463844815912,7.480625660597804,Down,down|180|100|20
180,100,20,5132.738801696676,2.566369400848338,66.47426210792,0.06971485242158401,994.7863452991869,4181.277081212482,0.6204955812051964,5.0,0.0007439934822586276,0.19946220428396422,0.12308463844815912,7.480625660597804,Down,down|180|100|20
0,50,10,2943.1666908629018,5.8863333817258034,80.901160960175,0.07260023219203501,998.6163079613075,4185.3930163130335,0.5961753754294015,5.0,0.0009635966791833954,0.1478231640867095,0.14994513529445289,3.67228595714398,up,up|0|50|10
90,50,10,3096.787589431663,6.193575178863326,77.91166620195,0.07200233324039,997.9252518134076,4183.415567537862,0.6015568494615458,5.0,0.000915013938156185,0.15715129289336613,0.1443360718013069,3.6862246756852115,Ver,ver|90|50|10
90,50,10,2950.6025062877156,5.901205012575431,77.77447152745,0.07197489430549,997.8922507887013,4183.340655073298,0.6017995278224393,5.0,0.0009128229731744189,0.1575948604297656,0.14407933029645428,3.6868662578226594,Ver,ver|90|50|10
0,50,20,4343.341828841634,4.343341828841634,78.76949368620501,0.072173898737241,998.1290343256154,4183.914703929729,0.6000309359827136,2.5,0.0009287900508398873,0.15440923284976407,0.14594265987372587,7.3644338270251,up,up|0|50|20
180,50,20,2779.364985017582,2.779364985017582,80.99026204958,0.072618052409916,998.6360817857039,4185.462468957872,0.5960122389768926,2.5,0.0009650693623104449,0.1475547509928857,0.1501127694117745,7.343743442227551,Down,down|180|50|20
90,50,20,5005.121981678164,5.0051219816781645,79.20718012695501,0.07226143602539101,998.2313085068417,4184.190133687072,0.5992467039764465,2.5,0.0009358700232183284,0.1530307498345439,0.1467632580918835,7.360349135111152,Ver,ver|90|50|20
90,50,20,4958.966207007685,4.958966207007685,78.65381484454001,0.072150762968908,998.101811615199,4183.844272235978,0.6002375653569657,2.5,0.0009269246025295356,0.15477586908119526,0.1457258790777339,7.365513963181309,Ver,ver|90|50|20
0,100,20,8223.858905986515,4.111929452993258,76.39674957829001,0.071699349915658,997.5545899632142,4182.661552980512,0.604215655628123,5.0,0.0008910089368258075,0.16212768800597177,0.14150408802113093,7.386636970642803,up,up|0|100|20
0,100,10,4551.684970033573,4.551684970033573,76.02412871732,0.071624825743464,997.4613090386928,4182.500275944763,0.6048626032396517,10.0,0.0008851677772789999,0.16337859616062328,0.14080848019967174,3.6950665206520847,up,up|0|100|10
180,100,10,2803.4441302771475,2.8034441302771476,80.47181103878,0.072514362207756,998.5203563754575,4185.067139079309,0.5969592523411674,10.0,0.0009565203194814314,0.1491241763486836,0.1491377497748224,3.6742829977859066,Down,down|180|100|10
180,50,20,2667.0646600149785,2.6670646600149785,80.57429263120001,0.07253485852624,998.5433595667824,4185.14360610097,0.5967724836320031,2.5,0.0009582063619435321,0.14881248724873267,0.1493304064978003,7.347612355869986,Down,down|180|50|20
90,100,10,4753.175177113847,4.753175177113847,76.74793900647501,0.07176958780129501,997.641743215757,4182.822183454837,0.6036033755132112,10.0,0.0008965370173314226,0.1609585426572476,0.1421600296931288,3.691672144816655,ver ,ver|90|100|10
90,50,20,1869.7563396574715,1.8697563396574715,2.61893608911501,0.056943787217823005,962.8382226979412,4311.298240473499,0.6781525972867188,2.5,0.00022188757122398525,0.7089023012157105,0.005000050012164593,8.14300839494365,ver,ver|90|50|20
0,200,10,6465.891746374157,3.2329458731870786,77.17716835356,0.07185543367071201,997.7472583817579,4183.030024869749,0.6028516871583078,20.0,0.0009033236739929072,0.1595423947577122,0.14296219355398948,3.6896614784506236,up,up|0|200|10
180,200,10,4855.943880032529,2.4279719400162643,75.00579170105,0.07142115834021001,997.2021318415591,4182.106714552813,0.6066164842723644,20.0,0.0008693319311337728,0.16685278706022197,0.13890928986880385,3.6998502120389474,down,down|180|200|10
90,200,10,7818.608864093689,3.909304432046844,71.01070971258001,0.07062214194251601,996.1252555109687,4181.194459197286,0.61329692060209,20.0,0.0008090082500668189,0.18130820880460652,0.13148178776170882,3.7187105990897327,ver,ver|90|200|10
180,200,20,7953.5583069789145,1.9883895767447286,77.91166620195,0.07200233324039,997.9252518134076,4183.415567537862,0.6015568494615458,10.0,0.000915013938156185,0.15715129289336613,0.1443360718013069,7.372449351370423,down,down|180|200|20
90,200,20,13200.638158251315,3.300159539562829,80.28954124074001,0.07247790824814801,998.4792880840022,4184.933162957822,0.5972909129304782,10.0,0.0009535262606877329,0.14968032687829483,0.1487951871302105,7.350262555448311,ver,ver|90|200|20
0,200,20,12464.008980808896,3.116002245202224,74.25045149413,0.071270090298826,997.005870836,4181.858431714711,0.6079040088124229,10.0,0.0008577064432629001,0.16948333771062027,0.13750225056764823,7.406809268211948,up,up|0|200|20
0,200,20,12209.353063851706,3.0523382659629266,69.45435238804501,0.070310870477609,995.6798185528525,4181.095006152227,0.6158130066373071,10.0,0.0007862856578836379,0.18731754934828534,0.12859701367987814,7.452198281176258,up,up|0|200|20
0,300,10,9287.22744079473,3.09574248026491,77.81338908028,0.07198267781605601,997.901623552729,4183.3617690068695,0.6017307263133902,30.0,0.0009134441326335016,0.15746889316155974,0.1441521536781754,3.686684245229397,up,up|0|300|10
90,300,10,10589.724059821272,3.529908019940424,77.17716835356,0.07185543367071201,997.7472583817579,4183.030024869749,0.6028516871583078,30.0,0.0009033236739929072,0.1595423947577122,0.14296219355398948,3.6896614784506236,ver,ver|90|300|10
180,300,20,6758.115555107523,1.1263525925179205,73.04796069227501,0.071029592138455,996.6863633019534,4181.537545520385,0.6099301867202361,15.0,0.0008394107175524882,0.17376792592458934,0.1352650127665696,7.4181483549349325,down,down|180|300|20
0,300,20,13423.206707569203,2.2372011179282003,74.046894610995,0.07122937892219901,996.9523948221447,4181.797750399461,0.608249032327151,15.0,0.0008545910537861902,0.17020019757469826,0.137123299727362,7.40872684332589,up,up|0|300|20
90,300,20,17436.743729171718,2.906123954861953,65.47770039477001,0.06951554007895401,994.4756730523775,4181.442897695461,0.622021835026436,15.0,0.0007302073697818133,0.20371980317146401,0.12124419934488688,7.4901715084847815,ver,ver|90|300|20
180,300,10,3777.0728212980503,1.2590242737660167,79.019037254465,0.072223807450893,998.1874860153919,4184.069997372782,0.5995842816158281,30.0,0.0009328224173202698,0.1536216138663119,0.14641044366051362,3.681052277652197,Down,down|180|300|10
