,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
pressure [MPa],1.0,-0.1656604153724402,-0.2967830849973085,-0.4006004551966405,-0.5148059774092252,-0.19057231682477266,-0.356976913997298
mass_flux [kg/m2-s],-0.1656604153724402,1.0,-0.2236313589959633,-0.046865580719706076,-0.24291488016760773,-0.06262955398661446,0.45356193138547396
x_e_out [-],-0.2967830849973085,-0.2236313589959633,1.0,0.11043811184760918,0.08058446887046133,0.37810244689560896,-0.5136870904109817
D_e [mm],-0.4006004551966405,-0.046865580719706076,0.11043811184760918,1.0,0.49351516693790204,0.3738201486629477,-0.0827711760879436
D_h [mm],-0.5148059774092252,-0.24291488016760773,0.08058446887046133,0.49351516693790204,1.0,0.18697738245198778,0.09940621716770069
length [mm],-0.19057231682477266,-0.06262955398661446,0.37810244689560896,0.3738201486629477,0.18697738245198778,1.0,-0.4231665724370311
chf_exp [MW/m2],-0.356976913997298,0.45356193138547396,-0.5136870904109817,-0.0827711760879436,0.09940621716770069,-0.4231665724370311,1.0
