column,q1,q3,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
pressure [MPa],6.89,13.79,6.8999999999999995,-3.46,24.14,0,0.0
mass_flux [kg/m2-s],1519.0,3933.0,2414.0,-2102.0,7554.0,25,1.3404825737265416
x_e_out [-],-0.0483,0.1006,0.1489,-0.27165,0.32394999999999996,43,2.3056300268096517
D_e [mm],5.6,11.1,5.5,-2.6500000000000004,19.35,139,7.453083109919571
D_h [mm],5.6,15.2,9.6,-8.799999999999999,29.599999999999998,244,13.083109919571045
length [mm],432.0,1778.0,1346.0,-1587.0,3797.0,0,0.0
chf_exp [MW/m2],2.4,4.8,2.4,-1.1999999999999997,8.399999999999999,56,3.002680965147453
