,count,mean,std,min,25%,50%,75%,max
pressure [MPa],1865.0,10.010949061662195,4.282715161255357,0.1,6.89,10.34,13.79,20.68
mass_flux [kg/m2-s],1865.0,2862.6477211796246,1656.412246657208,0.0,1519.0,2590.0,3933.0,7975.0
x_e_out [-],1865.0,0.016178820375335114,0.11757478611113789,-0.8667,-0.0483,0.0244,0.1006,0.232
D_e [mm],1865.0,9.417211796246647,6.333807101058828,1.0,5.6,8.5,11.1,37.5
D_h [mm],1865.0,16.167721179624667,21.182870195222023,1.0,5.6,10.3,15.2,120.0
length [mm],1865.0,911.3404825737265,726.718973994713,10.0,432.0,625.0,1778.0,3048.0
chf_exp [MW/m2],1865.0,3.8546380697050937,1.985535459921495,0.8,2.4,3.5,4.8,19.3
