n_test,R2,RMSE,MAE,MAPE_pct,train_seconds,arm,split,trust_weight_median
432,0.5050727101307855,251.43214564552994,167.49054474065454,42.27565485755967,,PHYS_katto,strategy3,
432,0.5062981191185216,251.12068761179887,165.04202163990297,43.86680397272884,,PHYS_gated,strategy3,
432,0.711246056745642,192.0498900367824,123.26906590270603,36.64585702763216,,REF_A1_latent_unbounded,strategy3,1.0
432,0.6057213519164893,224.41492164506516,160.7085981390918,52.389233323166486,,REF_A2_katto_unbounded,strategy3,1.0
432,0.5062981191181868,251.12068761188405,165.0420216398346,43.866803972620815,,REF_A5_gated_pi_constrained,strategy3,6.953277629560026e-12
432,-0.8165441926645802,481.6960498254609,295.9623238674835,70.73571540884195,,E1_latent_raw_bounded,strategy3,3.43518997556693e-17
432,0.5050727101338003,251.43214564476418,167.4905447404053,42.27565485755216,,E1_katto_raw_bounded,strategy3,3.43518997556693e-17
432,0.5050727101300543,251.4321456457157,167.49054474096278,42.27565485774684,,E1_katto_pi_bounded,strategy3,7.962168235644218e-12
432,0.6082569187670162,223.69216273008533,158.51893275597632,48.543767231338016,,E1_katto_raw_bound_notrust,strategy3,1.0
432,0.5051156162975026,251.42124684928478,167.49007719363934,42.27743058206364,,E2_katto_raw_gamma0.25,strategy3,7.655747312394842e-05
432,0.5050728974630776,251.4320980614044,167.49052966051386,42.275654630763896,,E2_katto_raw_gamma0.5,strategy3,5.861047585166098e-09
432,0.5050727101307855,251.43214564552994,167.49054474065454,42.27565485755967,,E2_katto_raw_gamma2.0,strategy3,1.1800558968971556e-33
432,0.48648691927437215,256.1095991526302,155.7621762335169,44.63639101242615,,E3_stack_raw_unbounded,strategy3,1.0
432,0.3285098288770637,292.8666577795883,197.89035604296038,54.464916190377885,,E3_stack_pi_unbounded,strategy3,1.0
432,-0.816544190426945,481.69604952878217,295.96232377419864,70.73571540200274,,E3_stack_raw_bounded,strategy3,1.5705205892714376e-10
432,-0.816544139106034,481.69604272435635,295.96229208914787,70.7356964730575,,E3_stack_pi_bounded,strategy3,1.89187692407902e-06
28470,0.7851136604403305,799.5720265684458,349.90518017048106,18.268589654690253,,PHYS_katto,strategy4_pooled_oof,
28470,0.7510858027722519,860.5537901013005,384.47353655127205,20.78734984030679,,PHYS_gated,strategy4_pooled_oof,
28470,0.8003025556186204,770.7959804061715,499.2576049643372,30.58827314999883,,REF_A1_latent_unbounded,strategy4_pooled_oof,
28470,-0.7970328923467132,2312.2309010267445,1187.4822790912872,57.146532290048015,,REF_A2_katto_unbounded,strategy4_pooled_oof,
28470,0.7102842376807326,928.408803102643,484.80015899803874,25.5119159533441,,REF_A5_gated_pi_constrained,strategy4_pooled_oof,
28470,-0.042656622327934324,1761.261495313519,1237.8139812236575,97.03533901653742,,E1_latent_raw_bounded,strategy4_pooled_oof,
28470,0.4894431090252479,1232.466884138127,577.737852563381,25.015684854519915,,E1_katto_raw_bounded,strategy4_pooled_oof,
28470,0.6858552041900504,966.7587743265635,520.548783983838,24.49879941024787,,E1_katto_pi_bounded,strategy4_pooled_oof,
28470,-0.5357472574402191,2137.534149981921,1113.6468050047986,53.69486650118799,,E1_katto_raw_bound_notrust,strategy4_pooled_oof,
28470,0.15400514502488383,1586.4889391878075,799.2516022572993,33.81665978221297,,E2_katto_raw_gamma0.25,strategy4_pooled_oof,
28470,0.35050719888567683,1390.0818041850855,681.7462672421267,28.71359470258695,,E2_katto_raw_gamma0.5,strategy4_pooled_oof,
28470,0.5646682268123614,1138.05531288319,502.4349626090337,22.500538131814885,,E2_katto_raw_gamma2.0,strategy4_pooled_oof,
28470,0.7154623125608108,920.0746951054258,552.0084005383105,35.53935345844145,,E3_stack_raw_unbounded,strategy4_pooled_oof,
28470,0.7183317993623082,915.4235849536899,552.4849960566746,35.29388782692854,,E3_stack_pi_unbounded,strategy4_pooled_oof,
28470,0.3538062581106156,1386.546891590222,926.6396023505192,77.31487530481094,,E3_stack_raw_bounded,strategy4_pooled_oof,
28470,0.2778706084636846,1465.752685356594,983.0038877435588,81.0327943129194,,E3_stack_pi_bounded,strategy4_pooled_oof,
