split_tag,arm,n_test,R2,RMSE,MAE,MAPE_pct,train_seconds,C1_nonpositive_frac,C1_nonfinite_frac,S2_pool_K_median,S2_pool_K_in_band_frac,C3_quality_violation_frac,C4_massflux_violation_frac,C6_nearcrit_ratio,C6_satisfied,S1_peak_reduced_pressure,S6_dlnCHF_dlnD_lowG,S6_expected_slope_lowG,S6_dlnCHF_dlnD_highG,S6_expected_slope_highG,S6_sign_reversal_captured,S7_coil_ratio_lowx,S7_coil_ratio_highx,S7_crossover_captured,monotone_applied,held_out_source
strategy1,PHYS_katto,5694,0.7791101953603632,770.6583504587054,342.67105099003766,19.213228318533695,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,
strategy1,PHYS_gated,5694,0.7328410851206208,847.5374324881617,380.82016971887964,21.969823952972355,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,
strategy1,A0_no_physics,5694,0.979182898186362,236.58335495059424,118.99336436835884,6.501747346335261,1.7890381813049316,0.0,0.0,0.3603564874820097,0.0,0.08333333333333333,0.25,0.5781670394672472,True,0.0876923076923077,0.26916279839463997,0.2,0.07465453289120756,-0.5,False,0.9520518933770356,0.9821562711477084,True,False,
strategy1,A1_latent_baseline,5694,0.9699103900684662,284.43453905870865,129.21261082864012,6.5416052657346135,1.0430059432983398,0.0,0.0,0.35953548191328966,0.0,0.2916666666666667,0.08333333333333333,1.4174608701779772,False,0.2907692307692308,0.5532032844344206,0.2,0.13376202543717672,-0.5,False,1.0096583761158906,1.0096583761158906,False,False,
strategy1,A2_katto_baseline,5694,0.9775760985719895,245.54417779732196,95.38705484412631,4.671380070563081,1.2220008373260498,0.0,0.0,0.3604550019417534,0.043478260869565216,0.625,0.0,0.514470220378993,True,0.696923076923077,1.0577449898695548,0.2,0.46795505328850345,-0.5,False,1.0015079843091774,1.0015079843091772,False,False,
strategy1,A3_pi_features,5694,0.9816711276973428,221.99435227165577,79.21767359256802,3.910702868515482,1.9131829738616943,0.0,0.0,0.400241635242227,0.06521739130434782,0.4583333333333333,0.0,0.581597508524489,True,0.6743589743589744,0.9941983523923976,0.2,0.4311675599791588,-0.5,False,1.0027379269272296,1.0,False,False,
strategy1,A4_mechanism_gated,5694,0.9785182025989454,240.3307607527516,89.44293541904925,4.106178401167922,2.8073747158050537,0.0,0.0,0.39893234922277854,0.06521739130434782,0.3333333333333333,0.0,0.5564869277619493,True,0.6743589743589744,0.9503807889949057,0.2,0.481387262401165,-0.5,False,0.6541230373603093,1.3394085883632671,True,False,
strategy1,A5_constrained,5694,0.957405412027983,338.416292911115,130.48602641686304,7.142371677655045,3.0320441722869873,0.0,0.0,0.3782083338171015,0.17391304347826086,0.125,0.0,0.5649828550738853,True,0.31333333333333335,0.9642947697907993,0.2,0.45174189243697094,-0.5,False,0.6498799269678818,1.3864542499514925,True,True,
strategy1,A1_ANN,5694,0.9637174746586528,312.33654840297044,118.38177136716665,5.669558068151893,6.033276796340942,0.0,0.0,0.39612237395850397,0.10869565217391304,1.0,0.0,0.19664643352720018,True,0.854871794871795,0.8115624237059215,0.2,0.7980800634549361,-0.5,False,0.7452334536408111,0.9052895341317919,True,False,
strategy1,A5_ANN,5694,0.9595173370439402,329.9199588092716,119.95811343235343,5.990831858545532,8.16174602508545,0.0,0.0,0.31975005239124443,0.13043478260869565,0.7083333333333334,0.0,0.664470738995617,True,0.31333333333333335,0.9644465437496405,0.2,0.5057679019011819,-0.5,False,0.649829414713214,1.3862551788983895,True,False,
strategy2,PHYS_katto,6619,0.5074569510166969,904.7351282795723,423.9814706643096,23.7750126441921,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
strategy2,PHYS_gated,6619,0.8084787454923852,564.1672149752445,335.49068008741574,24.56101375595242,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
strategy2,A0_no_physics,6619,0.9033256193198806,400.8252342979435,228.0704755119471,16.90512265559374,2.9557180404663086,0.0,0.0,,,0.08333333333333333,0.041666666666666664,0.665985729495273,True,0.13282051282051283,0.25087248197018774,0.2,0.09326508692850471,-0.5,False,0.9981064271460459,1.0005013303822603,True,False,
strategy2,A1_latent_baseline,6619,0.8771396169349945,451.8614466110932,259.34629038057477,15.946664595219215,2.9886367321014404,0.0,0.0,,,0.25,0.041666666666666664,0.2562033512863573,True,0.2230769230769231,0.8714516921995096,0.2,0.24624101416240962,-0.5,False,1.0,1.0,False,False,
strategy2,A2_katto_baseline,6619,0.8123372336388456,558.4552947137568,271.87988355434936,17.315401646289917,3.0450100898742676,0.0,0.0,,,0.5,0.0,0.5786443118893041,True,0.2230769230769231,1.311250816615141,0.2,0.6806719119462078,-0.5,False,0.9980340920797425,1.0,True,False,
strategy2,A3_pi_features,6619,0.7896958056781044,591.1848866592261,280.69050609438943,16.24471761378043,2.9005119800567627,0.0,0.0,,,0.4166666666666667,0.0,0.717109094139035,True,0.02,1.0910723142340906,0.2,0.5541923953896265,-0.5,False,0.998682652872393,1.0,True,False,
strategy2,A4_mechanism_gated,6619,0.8266383783538528,536.7546756062859,256.7336528508961,15.421505570750558,2.983719825744629,0.0,0.0,,,0.5,0.0,0.6089135015436641,True,0.06512820512820514,0.9534618819440195,0.2,0.4752237884804167,-0.5,False,0.6502003539640849,1.2786794675218793,True,False,
strategy2,A5_constrained,6619,0.8537782117675793,492.952872045344,281.84958151700465,21.74501498843516,1.4095861911773682,0.0,0.0,,,0.16666666666666666,0.0,0.5628821809562865,True,0.31333333333333335,0.9641021834075294,0.2,0.44177082074073265,-0.5,False,0.6498574011905202,1.3864415819304992,True,True,
strategy2,A1_ANN,6619,0.645006945318479,768.0850002893259,454.6090841233311,29.671549083587056,4.092422962188721,0.0,0.0,,,0.9583333333333334,0.0,2.2635002218125874e-08,True,0.9,0.7979917298029708,0.2,0.7321574822366596,-0.5,False,2.199692145610693,3.151348244072209,True,False,
strategy2,A5_ANN,6619,0.80054954626178,575.7273619132355,305.1419649142342,21.718914082306046,6.521912097930908,0.0,0.0,,,0.5416666666666666,0.041666666666666664,0.6573742452999883,True,0.31333333333333335,0.9643337605747538,0.2,0.48049436835059833,-0.5,False,0.6498750983809407,1.3864399356046424,True,False,
strategy3,PHYS_katto,432,0.5050727101307855,251.43214564552994,167.49054474065454,42.27565485755967,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,
strategy3,PHYS_gated,432,0.5062981191185216,251.12068761179887,165.04202163990297,43.86680397272884,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,
strategy3,A0_no_physics,432,-17.996502490784163,1557.711138765416,1145.1379533751117,585.2862590993813,5.62648606300354,0.0,0.0,0.9174807296973408,0.0,0.041666666666666664,0.08333333333333333,0.5837753941882562,True,0.2230769230769231,0.3485214222723664,0.2,0.07751689678617284,-0.5,False,1.042327383653279,0.9994679531722582,False,False,
strategy3,A1_latent_baseline,432,0.711246056745642,192.0498900367824,123.26906590270603,36.64585702763216,3.380505084991455,0.0,0.0,0.2266068187575058,0.0,0.375,0.125,1.2967755914671113,False,0.20051282051282052,0.5649289517358002,0.2,0.15469383230416828,-0.5,False,1.1061587470735397,1.0903919018435861,False,False,
strategy3,A2_katto_baseline,432,0.6057213519164893,224.41492164506516,160.7085981390918,52.389233323166486,4.761904239654541,0.0,0.0,0.22100717180888627,0.14857142857142858,0.5833333333333334,0.0,0.5785228758455782,True,0.2230769230769231,1.0353772961792505,0.2,0.49730096462218254,-0.5,False,1.0067167326753503,0.9890757218016373,False,False,
strategy3,A3_pi_features,432,0.2518756415731277,309.12704231069904,213.97009072021208,63.71106447041763,4.4002296924591064,0.0,0.0,0.09538527544292205,0.0,0.5,0.0,0.5959138117445988,True,0.13282051282051283,0.936504197384276,0.2,0.49195895971401393,-0.5,False,1.0064333622633768,0.9736715051180191,False,False,
strategy3,A4_mechanism_gated,432,0.31495199583089106,295.8084689830566,189.61978591266137,53.15030011651479,3.480541944503784,0.0,0.0,0.10475789398934501,0.0,0.3333333333333333,0.0,0.594705228361555,True,0.0876923076923077,1.017145564982203,0.2,0.5173583967120795,-0.5,False,0.8877197332435481,1.694388223778338,True,False,
strategy3,A5_constrained,432,0.5062981191181868,251.12068761188405,165.0420216398346,43.866803972620815,3.217362880706787,0.0,0.0,0.1309999999998212,1.0,0.125,0.0,0.5612128094512351,True,0.31333333333333335,0.9642313777629763,0.2,0.442429270570776,-0.5,False,0.6498632662993444,1.3866384671689373,True,True,
strategy3,A1_ANN,432,-362.9571895263897,6818.2865989893535,4291.91584675304,1187.0263098580824,9.9292471408844,0.0,0.0,10.719494936792069,0.0,0.9583333333333334,0.0,0.025356087850874613,True,0.06512820512820514,0.9444843526874342,0.2,0.7985515958551668,-0.5,False,920.7683238218434,701.1596767592902,False,False,
strategy3,A5_ANN,432,0.5062981191203706,251.1206876113286,165.0420216393775,43.866803972388304,12.75587773323059,0.0,0.0,0.13100000000060685,1.0,0.6666666666666666,0.0,0.6316791850735931,True,0.31333333333333335,0.9641053745464531,0.2,0.43249650812375035,-0.5,False,0.6498679872825033,1.3865779209915945,True,False,
strategy4_fold=helical_coil_r123,PHYS_katto,257,0.05104739207821951,77.07723548670488,62.11242669289828,33.003368548206794,0.0,0.0,0.0,,,,,,,,,,,,,,,,,helical_coil_r123
strategy4_fold=helical_coil_r123,PHYS_gated,257,0.09307398190865102,75.35113498043653,57.996621325097955,35.67798495969739,0.0,0.0,0.0,,,,,,,,,,,,,,,,,helical_coil_r123
strategy4_fold=helical_coil_r123,A0_no_physics,257,-678.4523818204335,2062.4497703127413,1602.3338633181672,938.0137845687033,3.07614803314209,0.0,0.0,,,,,,,,,,,,,,,,False,helical_coil_r123
strategy4_fold=helical_coil_r123,A1_latent_baseline,257,-0.19185477281852248,86.38046501277906,64.74035751617664,38.58637705235639,2.6830713748931885,0.0,0.0,,,,,,,,,,,,,,,,False,helical_coil_r123
strategy4_fold=helical_coil_r123,A2_katto_baseline,257,-2.4074549834910237,146.05584147435908,129.44784491830185,84.07742796638956,2.731300115585327,0.0,0.0,,,,,,,,,,,,,,,,False,helical_coil_r123
strategy4_fold=helical_coil_r123,A3_pi_features,257,-1.90158924809657,134.7788772745584,116.43500102246695,72.80953587920959,3.190335988998413,0.0,0.0,,,,,,,,,,,,,,,,False,helical_coil_r123
strategy4_fold=helical_coil_r123,A4_mechanism_gated,257,-0.901022140397407,109.0931432721581,99.05438118905312,70.81350185509366,3.3318779468536377,0.0,0.0,,,,,,,,,,,,,,,,False,helical_coil_r123
strategy4_fold=helical_coil_r123,A5_constrained,257,0.09307398190865102,75.35113498043653,57.996621325097955,35.67798495969739,1.7222721576690674,0.0,0.0,,,,,,,,,,,,,,,,True,helical_coil_r123
strategy4_fold=helical_coil_r123,A1_ANN,257,-1568.6757808952154,3134.7928417727803,2550.01310023199,1458.2090737740323,8.067133903503418,0.0,0.0,,,,,,,,,,,,,,,,False,helical_coil_r123
strategy4_fold=helical_coil_r123,A5_ANN,257,0.09307398190865102,75.35113498043653,57.996621325097955,35.67798495969739,9.721591234207153,0.0,0.0,,,,,,,,,,,,,,,,False,helical_coil_r123
strategy4_fold=kaeri_nonuniform,PHYS_katto,888,0.572759628793484,1543.5764537543394,604.5275899440221,37.82870356274977,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,PHYS_gated,888,-0.4330169193486961,2826.9469732106563,1851.926830243461,129.50651856647465,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A0_no_physics,888,0.015036732425201649,2343.7000025338957,2088.955564122293,173.82227379609628,3.645076036453247,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A1_latent_baseline,888,0.5114805160086682,1650.5662022637441,1251.88062088286,78.04631037224792,1.9425599575042725,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A2_katto_baseline,888,0.32251418154224043,1943.757613992216,1553.0750505756926,98.5645020482396,2.682487964630127,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A3_pi_features,888,0.32449438753335413,1940.9148554790581,1646.9797360934276,116.08802836987726,10.27121376991272,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A4_mechanism_gated,888,-0.1719100749490985,2556.460855296258,2155.832629116121,158.56653869535256,6.258391618728638,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A5_constrained,888,-0.6002783952932407,2987.375219920749,2094.3446823035106,144.45905046752802,3.7698781490325928,0.0,0.0,,,,,,,,,,,,,,,,True,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A1_ANN,888,-0.7696630773488093,3141.5016929325056,2434.00633561798,197.16165416279927,4.63058614730835,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_nonuniform
strategy4_fold=kaeri_nonuniform,A5_ANN,888,-0.5767101461192126,2965.2951985265786,2094.3702272964447,141.13922448460133,5.643276929855347,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_nonuniform
strategy4_fold=kaeri_uniform,PHYS_katto,651,0.14581882952384562,1360.1827815300492,1029.9330388591509,74.41934586036749,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kaeri_uniform
strategy4_fold=kaeri_uniform,PHYS_gated,651,0.46229762313764455,1079.1784245827532,867.8203224880008,70.43446414306888,0.0,0.0,0.0,,,,,,,,,,,,,,,,,kaeri_uniform
strategy4_fold=kaeri_uniform,A0_no_physics,651,0.743113758509192,745.9207668641185,503.73121803776854,21.00234904004306,3.5319249629974365,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_uniform
strategy4_fold=kaeri_uniform,A1_latent_baseline,651,0.7681650765100186,708.6172255393815,488.5743185036908,21.68160922715783,2.2467682361602783,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_uniform
strategy4_fold=kaeri_uniform,A2_katto_baseline,651,0.622982573522117,903.6556916386099,697.8863091489386,37.1183040470517,2.814547300338745,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_uniform
strategy4_fold=kaeri_uniform,A3_pi_features,651,0.7214339520600483,776.759131427598,527.6851405912839,25.01217408053762,3.396381139755249,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_uniform
strategy4_fold=kaeri_uniform,A4_mechanism_gated,651,0.7943574468233604,667.3885779795842,475.8790026679852,27.597437153503932,3.7460861206054688,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_uniform
strategy4_fold=kaeri_uniform,A5_constrained,651,0.7217744661219956,776.2842381525626,601.1354755279655,36.8863937173321,3.521425724029541,0.0,0.0,,,,,,,,,,,,,,,,True,kaeri_uniform
strategy4_fold=kaeri_uniform,A1_ANN,651,0.7070828063181485,796.5163746216535,614.417157256169,26.878541008623852,8.866192102432251,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_uniform
strategy4_fold=kaeri_uniform,A5_ANN,651,0.6486523225935183,872.3501086700675,693.8739044700864,40.7411275460739,13.618664979934692,0.0,0.0,,,,,,,,,,,,,,,,False,kaeri_uniform
strategy4_fold=mentor_master,PHYS_katto,55,-0.901999150677768,2107.529138857578,1527.8376763121994,44.08135257748727,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,mentor_master
strategy4_fold=mentor_master,PHYS_gated,55,-0.901999150677768,2107.529138857578,1527.8376763121994,44.08135257748727,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,mentor_master
strategy4_fold=mentor_master,A0_no_physics,55,-0.462328178558185,1847.9527089781088,1357.5241400217692,44.11942365649513,3.3515148162841797,0.0,0.0,0.17472429079997012,0.0,,,,,,,,,,,,,,False,mentor_master
strategy4_fold=mentor_master,A1_latent_baseline,55,0.33330973448063916,1247.7583520660703,1065.99347010492,60.41364589170757,3.3178699016571045,0.0,0.0,0.35486219137517205,0.0,,,,,,,,,,,,,,False,mentor_master
strategy4_fold=mentor_master,A2_katto_baseline,55,-0.08328272120073632,1590.5207401164107,1194.5378194503182,42.48368632435818,3.2879679203033447,0.0,0.0,0.19637451676961656,0.0,,,,,,,,,,,,,,False,mentor_master
strategy4_fold=mentor_master,A3_pi_features,55,-1.154786818753807,2243.213364445554,1667.2964781650348,49.1998783059805,3.4189488887786865,0.0,0.0,0.10997386840918578,0.0,,,,,,,,,,,,,,False,mentor_master
strategy4_fold=mentor_master,A4_mechanism_gated,55,-0.8962990974815368,2104.3687688603536,1524.9931965758979,44.006183446262995,3.488913059234619,0.0,0.0,0.1315035617806982,1.0,,,,,,,,,,,,,,False,mentor_master
strategy4_fold=mentor_master,A5_constrained,55,-0.9019991501537883,2107.529138567277,1527.8376760507092,44.081352570583825,3.624114990234375,0.0,0.0,0.1310000000462671,1.0,,,,,,,,,,,,,,True,mentor_master
strategy4_fold=mentor_master,A1_ANN,55,-0.6278596511362742,1949.7409264504652,1418.433483718923,41.26709010035651,8.984771728515625,0.0,0.0,0.14819110280344053,0.4727272727272727,,,,,,,,,,,,,,False,mentor_master
strategy4_fold=mentor_master,A5_ANN,55,-0.9019991492474917,2107.5291380651615,1527.8376755976783,44.081352558632986,11.418823003768921,0.0,0.0,0.131000000126299,1.0,,,,,,,,,,,,,,False,mentor_master
strategy4_fold=nrc_groeneveld_24579pt,PHYS_katto,24579,0.9260966706145979,432.68506009720704,211.2090219840415,13.620497218441994,0.0,0.0,0.0,,,,,,,,,,,,,,,,,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,PHYS_gated,24579,0.8839439083611788,542.2179222147088,245.7309809165049,14.012228290110418,0.0,0.0,0.0,,,,,,,,,,,,,,,,,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A0_no_physics,24579,0.769368963327987,764.3614463264762,506.38785167098837,38.507167236489444,2.415917158126831,0.0,0.0,,,,,,,,,,,,,,,,False,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A1_latent_baseline,24579,0.8394469871077517,637.7480331228692,439.8530788100177,29.389572610170063,2.3542351722717285,0.0,0.0,,,,,,,,,,,,,,,,False,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A2_katto_baseline,24579,-1.2860373897658208,2406.4761542821734,1203.007356342439,58.26875009132231,2.3709521293640137,0.0,0.0,,,,,,,,,,,,,,,,False,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A3_pi_features,24579,-0.8211739745375675,2147.9077037646193,1187.3469465511669,60.739480779516086,2.319139242172241,0.0,0.0,,,,,,,,,,,,,,,,False,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A4_mechanism_gated,24579,0.6559783505808532,933.5396854306406,643.9780965927299,41.48861298631762,2.407809019088745,0.0,0.0,,,,,,,,,,,,,,,,False,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A5_constrained,24579,0.8288264645349883,658.5036830858577,371.15894162893926,20.146606424630743,2.68635892868042,0.0,0.0,,,,,,,,,,,,,,,,True,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A1_ANN,24579,0.751402293119773,793.575875874695,519.6832276348387,33.093774612418436,2.068774938583374,0.0,0.0,,,,,,,,,,,,,,,,False,nrc_groeneveld_24579pt
strategy4_fold=nrc_groeneveld_24579pt,A5_ANN,24579,0.8507794991925529,614.8287177659454,370.6397201126917,21.624818881443243,0.800915002822876,0.0,0.0,,,,,,,,,,,,,,,,False,nrc_groeneveld_24579pt
strategy4_fold=pinfin_chf_water_fc72,PHYS_katto,175,0.28485820748166457,383.84087588501814,322.2458381022166,55.89266960900932,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,PHYS_gated,175,0.28485820748166457,383.84087588501814,322.2458381022166,55.89266960900932,0.0,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,A0_no_physics,175,0.5211958243046527,314.0755340482357,265.5239168740692,72.72600963391226,3.5879859924316406,0.0,0.0,0.5691667787858934,0.14857142857142858,,,,,,,,,,,,,,False,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,A1_latent_baseline,175,0.6624295711348795,263.7165223346185,187.49500442331188,34.92361703684175,3.3410329818725586,0.0,0.0,0.2776408565543561,0.0,,,,,,,,,,,,,,False,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,A2_katto_baseline,175,0.5706992464141938,297.3965784761745,229.71928669792945,37.73750040532952,3.1328539848327637,0.0,0.0,0.23448572861301478,0.14857142857142858,,,,,,,,,,,,,,False,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,A3_pi_features,175,0.0868297671736743,433.7415382230594,354.00573244411765,60.079563348047195,3.351778984069824,0.0,0.0,0.11782091699774506,0.0,,,,,,,,,,,,,,False,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,A4_mechanism_gated,175,0.0545713070189382,441.33617995798323,363.80045982621965,62.68775548678816,3.5034003257751465,0.0,0.0,0.10801038799632873,0.0,,,,,,,,,,,,,,False,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,A5_constrained,175,0.2848582074548862,383.84087589220456,322.24583810578736,55.89266960911695,2.852228879928589,0.0,0.0,0.131,1.0,,,,,,,,,,,,,,True,pinfin_chf_water_fc72
strategy4_fold=pinfin_chf_water_fc72,A1_ANN,175,-3703.0629681571727,27624.493427601046,26835.68405913232,7151.280702173429,8.858973979949951,0.0,0.0,26.94726217082063,0.0,,,,,,,,,,,,,,False,pinfin_chf_water_fc72
