TestID,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,InletTemperature,InletEnthalpy,HeatFlux,CHFLocation,Shape,Fluid,Source,Continuous,Quality,QualityPosition,WallPower,WallMesh
34,0.01059,0.0333,8.8081e-05,1.83,1.379e+07,60122.10000000001,949.4,0.0836,275.3,1208635.08,987500,1.753,middle,water,Swenson,yes,-0.327,0.0,0.431,0.046
35,0.01059,0.0333,8.8081e-05,1.83,1.379e+07,35921,678.1,0.0597,327.9,1506938.79,590000,1.676,middle,water,Swenson,yes,-0.052,0.0,0.431,0.046
36,0.01059,0.0333,8.8081e-05,1.83,1.379e+07,36304.6,678.1,0.0597,321.7,1466122.55,596300,1.753,middle,water,Swenson,yes,-0.089,0.0,0.431,0.046
37,0.01059,0.0333,8.8081e-05,1.83,1.379e+07,41108.3,678.1,0.0597,303.6,1358377.66,675200,1.753,middle,water,Swenson,yes,-0.189,0.0,0.431,0.046
38,0.01059,0.0333,8.8081e-05,1.83,1.379e+07,55896.8,678.1,0.0597,243.7,1055511.41,918100,1.753,middle,water,Swenson,yes,-0.469,0.0,0.431,0.046
39,0.01059,0.0333,8.8081e-05,1.83,1.379e+07,60122.10000000001,678.1,0.0597,228.9,986936.18,987500,1.753,middle,water,Swenson,yes,-0.533,0.0,0.431,0.046
40,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,37200,1356.3,0.1367,328.6,1511730.07,571100,1.753,outlet,water,Swenson,yes,-0.047,0.0,0.389,0.046
41,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,45211.9,1356.3,0.1367,314.4,1421004.37,694100,1.696,outlet,water,Swenson,yes,-0.131,0.0,0.389,0.046
42,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,46853.4,1356.3,0.1367,308.6,1386856.95,719300,1.657,outlet,water,Swenson,yes,-0.163,0.0,0.389,0.046
43,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,48703.3,1356.3,0.1367,302.4,1351657.56,747700,1.657,outlet,water,Swenson,yes,-0.195,0.0,0.389,0.046
44,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,36581.2,949.4,0.0957,325.7,1492140.53,561600,1.715,outlet,water,Swenson,yes,-0.065,0.0,0.389,0.046
45,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,40072.6,949.4,0.0957,310,1394981.77,615200,1.657,outlet,water,Swenson,yes,-0.155,0.0,0.389,0.046
46,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,44182.7,949.4,0.0957,300.8,1342761.09,678300,1.657,outlet,water,Swenson,yes,-0.203,0.0,0.389,0.046
47,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,48091,949.4,0.0957,287.6,1271753.34,738300,1.638,outlet,water,Swenson,yes,-0.269,0.0,0.389,0.046
48,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,52201.2,949.4,0.0957,272.9,1196594,801400,1.638,outlet,water,Swenson,yes,-0.339,0.0,0.389,0.046
49,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,39460.3,1763.2,0.1778,330,1521443.67,605800,1.676,outlet,water,Swenson,yes,-0.038,0.0,0.389,0.046
50,0.01133,0.0356,1.0082e-04,1.83,1.379e+07,45622.3,1763.2,0.1778,318.5,1446009.56,700400,1.676,outlet,water,Swenson,yes,-0.108,0.0,0.389,0.046
