n,r2_features_only,r2_study_only,r2_features_plus_study,features_gain_over_study,dataset
55,0.5649974439219626,0.8148913085107892,0.8573491765111588,0.04245786800036966,ATF_surface
175,0.9382578872473805,0.6588086000018811,0.9619230748074986,0.3031144748056175,pin_fin
24443,0.8642466937295492,0.34486760272930583,0.9010757237291847,0.5562081209998788,NRC_flow
