dataset,feature,n,n_studies,pooled_r,pooled_lo,pooled_hi,within_r,within_lo,within_hi,reversal,within_ci_excludes_zero
ATF_surface,Ra_um,55,7,-0.27984780517182695,-0.44072082750976516,0.3365591983197873,0.44699809079064956,0.3495395792442031,0.5967067891813586,True,True
ATF_surface,CA_deg,55,7,-0.7429140858778484,-0.9631632700143721,0.3426039429587961,-0.1859391968268853,-0.824959020008137,0.3431510489671822,False,False
pin_fin,Ra_um,175,16,0.15611693014774974,-0.05783514168799685,0.4780793542983711,0.4661976120645806,0.32181318868265574,0.7400807248537267,False,True
pin_fin,Porosity,175,16,0.45555264645343624,0.35197146068397084,0.6101479782863037,0.6705037794251681,0.5707125795262272,0.7972075028682092,False,True
pin_fin,Coverage,175,16,0.4548832940430302,0.35479484520621474,0.5913804030910315,0.6755904317494791,0.6021440224815782,0.7751614964586222,False,True
pin_fin,Subcooling(K),175,16,-0.09222071974064355,-0.38832480210733145,0.2992146709903606,0.5366124131040911,0.2868700335984942,0.6612202241046004,True,True
pin_fin,Height(um),175,16,0.1546743429347255,-0.04589157294112266,0.4071291373607994,0.399986605822524,0.17119006439572407,0.6090319387023705,False,True
pin_fin,Spacing(um),175,16,0.04103515112151379,-0.14243142366386613,0.27418891252782995,0.114629003352457,0.015504976799236727,0.4329420722949527,False,True
NRC_flow,D_m,24443,60,-0.09288813726999032,-0.21363901894899548,0.09304734086086472,-0.23307973809219104,-0.31511855817497203,-0.045115242286293766,False,True
NRC_flow,L_m,24443,60,-0.6333112205933912,-0.7264258162207037,-0.4824224170234652,-0.6727558869058841,-0.7419941554429306,-0.511375548141929,False,True
NRC_flow,P_kPa,24443,60,-0.22806938730917078,-0.36983800583586346,-0.055851013759174076,-0.2773261068422885,-0.3479801275403975,-0.20595708636712753,False,True
NRC_flow,G_kg_m2s,24443,60,0.45930898217455174,0.37654887869678094,0.5466620344291105,0.4656438887301409,0.4348167738019091,0.5021966241095621,False,True
NRC_flow,X,24443,60,-0.5897120721352842,-0.68784910793741,-0.5054653980848773,-0.6510148453249788,-0.6975387594363818,-0.5843973307180155,False,True
NRC_flow,dHin_sub_kJkg,24443,60,0.24774402055991795,0.16242300850378855,0.3313243255791816,0.25548840831049147,0.14561817615945505,0.32302893054112386,False,True
NRC_flow,Tin_C,24443,60,-0.2922478006872416,-0.43893573997441354,-0.0975422674252735,-0.37427050415159,-0.4343620441202158,-0.2579773018039808,False,True
