dataset,term,pooled_coef,pooled_p,mixed_coef,mixed_p,sign_flip,shrinkage_pct
ATF_surface,Ra_um,-0.008774257827869496,0.21680739573258154,0.016597159126215965,0.0014375899558712545,True,-89.15741310334815
ATF_surface,CA_deg,-0.011780126287225606,4.957180277970671e-10,-0.003769807181351046,0.051017217875232966,False,67.99858431535634
pin_fin,Ra_um,0.06005157453855997,7.198436667883211e-14,0.05043441024970198,1.3606411797667626e-15,False,16.01484118069656
pin_fin,Porosity,0.7247725008040852,1.8407010641688282e-08,0.5763023959325971,3.236829397534286e-08,False,20.485063203525332
pin_fin,Coverage,0.040831588838529886,0.6709553173056311,0.1676103818770352,0.051704844901762706,False,-310.4919417656193
pin_fin,Q('Subcooling(K)'),0.011934393184776362,6.928693782818366e-18,0.018350301573195244,1.918161911026657e-65,False,-53.759820789238645
pin_fin,is_water,1.5909139375950838,8.138625333544308e-66,1.605234703088748,1.7646743028231714e-31,False,-0.9001596601329709
NRC_flow,D_m,26.36329916986787,5.265790468062729e-171,27.979366105191758,9.024962552400708e-133,False,-6.129987468226217
NRC_flow,L_m,-0.16343895358381735,0.0,-0.2092019869485467,0.0,False,-28.000077314041548
NRC_flow,P_kPa,-6.11113990778936e-05,0.0,-6.940388371416397e-05,0.0,False,-13.569456372125654
NRC_flow,G_kg_m2s,0.00016923181286707426,0.0,0.00015531310660689667,0.0,False,8.22463934196005
NRC_flow,X,-1.3700495854249557,0.0,-1.1714079550679368,0.0,False,14.498864309017334
NRC_flow,dHin_sub_kJkg,0.0007022512439677505,0.0,0.0006130486984457963,0.0,False,12.702369171744854
