dataset,model,grouped,random,optimism_gap
ATF_surface,ANN_MLP,-43.67530417021534,0.5544246679542518,44.22972883816959
ATF_surface,GPR_Matern,-0.7259368028697308,0.5165922894164092,1.24252909228614
ATF_surface,RandomForest,-0.21419844709345814,0.5977077595456355,0.8119062066390936
ATF_surface,SVR_RBF,-1.498783415595791,0.58051526514825,2.0792986807440412
ATF_surface,XGBoost,-0.132878774483558,0.6200657451531723,0.7529445196367303
pin_fin,ANN_MLP,-1.1026152550027315,0.738206808038313,1.8408220630410446
pin_fin,GPR_Matern,0.9144390865924539,0.9692764451414304,0.054837358548976534
pin_fin,RandomForest,0.9419535484970464,0.9568111529670724,0.014857604470026042
pin_fin,SVR_RBF,0.8733448548153572,0.9497367915114358,0.07639193669607858
pin_fin,XGBoost,0.941595416507616,0.9719229707276605,0.030327554220044517
Zhao_flow,ANN_MLP,-0.4062497274939676,0.864467240546037,1.2707169680400046
Zhao_flow,GPR_Matern,0.5483655463822024,0.9446012762472626,0.3962357298650603
Zhao_flow,RandomForest,0.4783980485444761,0.923317441203884,0.44491939265940794
Zhao_flow,SVR_RBF,0.5067385540428939,0.9276561136052717,0.42091755956237775
Zhao_flow,XGBoost,0.5138107912538659,0.9356954921190269,0.42188470086516106
KAERI_flow,ANN_MLP,-17.371493131823936,0.9438109734819552,18.31530410530589
KAERI_flow,GPR_Matern,-1.0668462464441446,0.9900454584724662,2.0568917049166107
KAERI_flow,RandomForest,0.14893414191492105,0.9806087319630457,0.8316745900481246
KAERI_flow,SVR_RBF,-0.2782725625290252,0.989974595563126,1.268247158092151
KAERI_flow,XGBoost,0.3107947311062198,0.9840892028627892,0.6732944717565694
NRC_flow,ANN_MLP,0.9021010913696913,0.992580072441892,0.09047898107220065
NRC_flow,RandomForest,0.9319494212099773,0.9934238568669322,0.061474435656954984
NRC_flow,SVR_RBF,0.9534212371650359,0.9945040723759803,0.04108283521094436
NRC_flow,XGBoost,0.9554225715124861,0.9904565258596586,0.03503395434717249
