dataset,n,studies,icc_study,rows_per_study
ATF_surface,55,7,0.8148913085107894,7.857142857142857
pin_fin,175,16,0.6588086000018815,10.9375
NRC_flow,24443,60,0.34486760272930594,407.3833333333333
