dataset,model,split,r2,mae,rmse,mape
ATF_surface,ANN_MLP,random,0.5544246679542518,0.203468095392322,0.2655761942158559,21.450895241275894
ATF_surface,ANN_MLP,grouped,-43.67530417021534,1.042233484703176,2.659269376539327,562579.6612286228
ATF_surface,RandomForest,random,0.5977077595456355,0.18483554631604335,0.2523477293484673,19.168686045614677
ATF_surface,RandomForest,grouped,-0.21419844709345814,0.36160781705912903,0.4384028914995751,41.8905160668136
ATF_surface,XGBoost,random,0.6200657451531723,0.1737620128584489,0.24523519543161243,18.329468794398757
ATF_surface,XGBoost,grouped,-0.132878774483558,0.35187358901981497,0.42346770312901144,42.19422216695513
ATF_surface,SVR_RBF,random,0.58051526514825,0.18849016169212354,0.257683525720266,20.350386432238643
ATF_surface,SVR_RBF,grouped,-1.498783415595791,0.5112746012737377,0.6289163434938378,74.55677585924143
ATF_surface,GPR_Matern,random,0.5165922894164092,0.2062999358679931,0.2766211356811345,20.9139190838383
ATF_surface,GPR_Matern,grouped,-0.7259368028697308,0.4345312327825222,0.5226861808765991,49.31475609682431
pin_fin,ANN_MLP,random,0.738206808038313,0.2078504753390999,0.3165463332893114,23.621202881459315
pin_fin,ANN_MLP,grouped,-1.1026152550027315,0.4767281284334261,0.8970941374795106,241.37185669451026
pin_fin,RandomForest,random,0.9568111529670724,0.08809871890325147,0.12857126538718255,8.74285124526609
pin_fin,RandomForest,grouped,0.9419535484970464,0.11319735987438784,0.14905479475262914,11.531057719355028
pin_fin,XGBoost,random,0.9719229707276605,0.06764041298000846,0.10366536721960286,6.832452672669431
pin_fin,XGBoost,grouped,0.941595416507616,0.10727361389774862,0.149513902971513,11.438230928332286
pin_fin,SVR_RBF,random,0.9497367915114358,0.08964419552836275,0.13870215763270083,8.926463774914643
pin_fin,SVR_RBF,grouped,0.8733448548153572,0.13815338405593158,0.2201757739378629,15.806267109365619
pin_fin,GPR_Matern,random,0.9692764451414304,0.07783990637951343,0.10844108273036883,7.8121521025265315
pin_fin,GPR_Matern,grouped,0.9144390865924539,0.12551075786892144,0.1809655133732764,13.149182124557479
Zhao_flow,ANN_MLP,random,0.864467240546037,0.1295329110636553,0.17642660667247298,13.352844198461563
Zhao_flow,ANN_MLP,grouped,-0.4062497274939676,0.359177127434341,0.5682941251235654,65.22346376729298
Zhao_flow,RandomForest,random,0.923317441203884,0.0867545910687921,0.13270590221631487,8.810073991110539
Zhao_flow,RandomForest,grouped,0.4783980485444761,0.25289855166729963,0.34610792572439025,22.26840851668311
Zhao_flow,XGBoost,random,0.9356954921190269,0.08401830676061468,0.1215241662806446,8.522774918099271
Zhao_flow,XGBoost,grouped,0.5138107912538659,0.2447672586052865,0.3341524105155554,21.431298998118073
Zhao_flow,SVR_RBF,random,0.9276561136052717,0.08533714624985354,0.12889701459858965,8.81657212271425
Zhao_flow,SVR_RBF,grouped,0.5067385540428939,0.2485159252596985,0.33657397094894487,22.331510625698687
Zhao_flow,GPR_Matern,random,0.9446012762472626,0.07270693634503785,0.11279551219857448,7.346408469704574
Zhao_flow,GPR_Matern,grouped,0.5483655463822024,0.24127739598924003,0.3220590247366819,22.906494010060335
KAERI_flow,ANN_MLP,random,0.9438109734819552,0.12261406600079972,0.17463320278214312,12.396906300162287
KAERI_flow,ANN_MLP,grouped,-17.371493131823936,2.0448995018957805,3.1577176344707265,22298.187201233162
KAERI_flow,RandomForest,random,0.9806087319630457,0.06920046434081216,0.10258979684907783,6.957006052460778
KAERI_flow,RandomForest,grouped,0.14893414191492105,0.5567706195095163,0.6796458185571623,57.37099339894296
KAERI_flow,XGBoost,random,0.9840892028627892,0.0639546773465681,0.09292809500366424,6.457472742096552
KAERI_flow,XGBoost,grouped,0.3107947311062198,0.49873610336135205,0.6116111011463307,53.46058320448947
KAERI_flow,SVR_RBF,random,0.989974595563126,0.05233303204612929,0.07376528350404338,5.224781082100479
KAERI_flow,SVR_RBF,grouped,-0.2782725625290252,0.6351076155665117,0.8329382356630304,90.15091304505873
KAERI_flow,GPR_Matern,random,0.9900454584724662,0.050337047129492773,0.07350412235292512,5.038079593432164
KAERI_flow,GPR_Matern,grouped,-1.0668462464441446,0.7905482327318222,1.059144341488645,82.04629243622968
NRC_flow,ANN_MLP,random,0.992580072441892,0.047148251142315314,0.07023938308950337,4.665297901586228
NRC_flow,ANN_MLP,grouped,0.9021010913696913,0.09435209810707247,0.255134847776275,19.704671709475022
NRC_flow,RandomForest,random,0.9934238568669322,0.044327682916344084,0.06612512173134641,4.475631094209168
NRC_flow,RandomForest,grouped,0.9319494212099773,0.13278519983984324,0.21271433951850904,14.768928849603451
NRC_flow,XGBoost,random,0.9904565258596586,0.059577993048617855,0.07965886357973148,5.9924076353837075
NRC_flow,XGBoost,grouped,0.9554225715124861,0.10680592351871518,0.17216242127218478,11.777824057696222
NRC_flow,SVR_RBF,random,0.9945040723759803,0.030120799461950513,0.06045070335736588,3.1546047657473313
NRC_flow,SVR_RBF,grouped,0.9534212371650359,0.07354358402299578,0.1759846669087718,8.735594400089695
