,Lh_mm,G_kg_m2s,Psys_bar,rho_l_over_rho_g,xe,Q_watt,CHF_kW_m2
Lh_mm,1.0,-0.24518786501403758,0.17880145889797813,-0.20524881832251793,0.7622254607694917,0.6006866700852104,-0.3778161042657706
G_kg_m2s,-0.24518786501403758,1.0,0.3533807434935489,-0.3804438077151782,-0.4836949303177363,0.28050792331308116,0.8095776434419066
Psys_bar,0.17880145889797813,0.3533807434935489,1.0,-0.9659807754120764,0.11972869332668631,0.5296485047003884,0.5731607010038735
rho_l_over_rho_g,-0.20524881832251793,-0.3804438077151782,-0.9659807754120764,1.0,-0.12006552124092518,-0.5304781591917602,-0.5807101493585569
xe,0.7622254607694917,-0.4836949303177363,0.11972869332668631,-0.12006552124092518,1.0,0.2814212796476954,-0.38993078371234685
Q_watt,0.6006866700852104,0.28050792331308116,0.5296485047003884,-0.5304781591917602,0.2814212796476954,1.0,0.31007989621393106
CHF_kW_m2,-0.3778161042657706,0.8095776434419066,0.5731607010038735,-0.5807101493585569,-0.38993078371234685,0.31007989621393106,1.0
