arch,technique,test_set,n,R2,rRMSE,MAPE_%,within_10pct_%,RMSE_kW_m2,avg_pool_gate_on_pool_rows,avg_flow_gate_on_flow_rows
mlp,moe_joint,pool_only_heldout,11,0.4973190426826477,0.5256531238555908,41.34150314331055,0.0,771.3491821289062,,
mlp,moe_joint,flow_only_heldout,11,0.8111415505409241,0.29268714785575867,24.450620651245117,18.181818181818183,409.32513427734375,,
mlp,moe_joint_gate_check,both_heldout,22,,,,,,0.0865,0.4867
transformer,moe_joint,pool_only_heldout,11,0.7543667554855347,0.27978456020355225,23.525033950805664,27.27272727272727,539.1981811523438,,
transformer,moe_joint,flow_only_heldout,11,0.8031551837921143,0.24436944723129272,20.114826202392578,27.27272727272727,417.8901672363281,,
transformer,moe_joint_gate_check,both_heldout,22,,,,,,0.1103,0.7854
