model,target,r2_mean,r2_std,mape_mean,mape_std
ExtraTrees,log,0.9991782407691476,6.886833546445033e-05,3.315079528953995,0.125928147900616
ExtraTrees,raw,0.9991905522345949,7.523165646340836e-05,3.6917516770683028,0.14126435418314964
GPR_Matern52,log,0.9915593777017332,0.0020318990657200555,5.569376769607322,0.10397085345383604
GPR_Matern52,raw,0.9969039893581183,0.00016853669540859863,8.577664941181762,1.4343708554587977
KNN_k3,log,0.9930890054713091,0.0005907487027724047,9.414086715074603,0.5362266627167691
KNN_k3,raw,0.9933292446388041,0.0006055435431282566,9.949078524507204,0.6415719853227495
LightGBM,log,0.9989196418275658,0.0001442545899814581,3.582321432289313,0.12048717967036938
LightGBM,raw,0.9990424500711651,6.893005191038364e-05,7.440346400468009,0.6328521364194697
Linear,log,0.834291250972775,0.013813902429200706,52.61641374612996,1.7174800161114505
Linear,raw,0.57812289100606,0.004725209145768587,467.76838602936107,53.11104003866801
MLP,log,0.9906359124013708,0.0011958005163949792,7.425928485906144,0.6367670766017529
MLP,raw,0.982536872718137,0.005073079084739712,50.8685839069114,10.479556724322928
Poly2_Ridge,log,0.8466971702717885,0.007212968964070365,38.31119599192675,1.0558951264257035
Poly2_Ridge,raw,0.8396138206329489,0.004085944476534142,284.6850702999624,32.25516025288565
Poly4_Ridge,log,0.9507791612900915,0.0014171655673603618,22.87222621572686,0.9373622002159681
Poly4_Ridge,raw,0.9793355510260092,0.001717695065533473,96.55779560524641,8.484226210961648
RandomForest,log,0.9986702792766454,0.00016371928727903666,3.6966652548108483,0.1927224606982505
RandomForest,raw,0.9987378633017906,0.00013813533852419634,3.9862377808192804,0.26842014708770473
XGBoost,log,0.9987284130140314,0.00011304045684204937,4.147814934403594,0.1972895602729938
XGBoost,raw,0.9990410207878655,8.252252133666362e-05,8.032596195103558,0.5072029308313263
