split,model,target,r2,mape
C,Linear,raw,-2.641120686915003,1362.5946873924897
C,Linear,log,-1.0785605266430438,66.00924816290141
C,Poly2_Ridge,raw,-1.1868667826025723,809.5475540236239
C,Poly2_Ridge,log,0.754711994111804,35.819537585769076
C,Poly4_Ridge,raw,-0.28624120040476764,583.1614789770796
C,Poly4_Ridge,log,0.6181305928243319,67.3324039169918
C,KNN_k3,raw,0.4461412598964305,42.19202713181625
C,KNN_k3,log,0.4527870450512639,41.55097879080434
C,RandomForest,raw,0.4092039765948141,43.637633881741024
C,RandomForest,log,0.41467045992484575,43.40298004485605
C,ExtraTrees,raw,0.43353687853525225,41.930766324149175
C,ExtraTrees,log,0.43353688897011733,41.93062491026178
C,XGBoost,raw,0.42980494911786804,46.50102383276763
C,XGBoost,log,0.4307259607054177,42.491966542608296
C,LightGBM,raw,0.4257127742559269,46.37523500911855
C,LightGBM,log,0.42948139439941035,42.31430620861609
C,GPR_Matern52,raw,0.08769986838382604,64.32845921748786
C,GPR_Matern52,log,0.6751395897868824,42.62691174617467
C,MLP,raw,0.8495805894709988,47.16095052167725
C,MLP,log,0.3419978551048931,55.55019412761488
C,GridInterp,raw,0.8414795343051713,20.849441580256862
C,GridInterp,log,0.8039850837682588,26.68644117117267
