model,mean,std,min,max,mape
GridInterp(raw) [deterministic],0.8414795343051713,0.0,0.8414795343051713,0.8414795343051713,20.849441580256862
GridInterp(log) [deterministic],0.8039850837682588,0.0,0.8039850837682588,0.8039850837682588,26.68644117117267
Poly2_Ridge(log) [deterministic],0.754711994111804,0.0,0.754711994111804,0.754711994111804,35.819537585769076
GatedBlend(log MLP),0.6284381875188787,0.07142319071690097,0.5148916521818082,0.7549226465284412,39.78195491621899
MLP(log),0.6276910823100378,0.07158347426187935,0.5145935412803457,0.755737750569961,39.98159525406617
GatedBlend(raw MLP),0.46582976323197817,0.22764608928133284,0.13269054064316488,0.7411535494015167,67.08631183743807
MLP(raw),0.4411901714686802,0.24602008428318148,0.08052533667232009,0.7264548981277916,70.50166784549825
ExtraTrees(raw),0.43353687268218255,1.4363434958577974e-08,0.43353682993711606,0.433536882026355,41.93080127198941
