context,fluid,n,R2,single_model_R2_mean,single_model_R2_std,rRMSE,MAPE_%,within_10pct_%,coverage_95pct_%
core_interp,,2459,0.9680206179618835,0.9675548821687698,0.00024163957268745888,0.2368064820766449,14.309690475463867,53.59902399349329,16.83611224074827
core_extrap,,5994,0.9527795910835266,0.9522915035486221,0.00085368640831314,0.23783192038536072,15.04641056060791,50.26693360026694,19.11911911911912
hardik2016_coils_r123,r123,31,0.7356705665588379,0.7337134927511215,0.006624660538894649,0.6065828800201416,26.390161514282227,58.06451612903226,19.35483870967742
hardik2017_straight_tubes_r123,r123,11,0.37801045179367065,0.2731403112411499,0.21146829455118568,0.15891116857528687,10.734248161315918,63.63636363636363,63.63636363636363
kaeri_uniform_water,water,130,0.9028099775314331,0.9026421457529068,0.0005658444643893135,0.14155131578445435,8.090103149414062,73.07692307692307,12.307692307692308
kaeri_nonuniform_water,water,177,0.8454698324203491,0.843291774392128,0.004956637630448438,0.18151842057704926,12.68596363067627,57.6271186440678,27.683615819209038
zhao2020_tubes_water,water,287,0.8922015428543091,0.8903047293424606,0.001107433905980095,0.1440713107585907,9.914579391479492,66.2020905923345,13.937282229965156
