context,fluid,n,R2,single_model_R2_mean,single_model_R2_std,rRMSE,MAPE_%,within_10pct_%,coverage_95pct_%
core_interp,,2459,0.9631513357162476,0.9620320051908493,0.0012078573584660079,0.26847776770591736,15.731969833374023,50.58967059780398,20.089467263115086
core_extrap,,5994,0.9157745242118835,0.913853220641613,0.0030843065779708394,0.41129228472709656,24.60042381286621,35.48548548548548,15.932599265932598
hardik2016_coils_r123,r123,31,0.560492753982544,0.5581066533923149,0.02801427518474737,0.7756574153900146,33.43799591064453,35.483870967741936,16.129032258064516
hardik2017_straight_tubes_r123,r123,11,0.48122256994247437,0.48013509809970856,0.003029580075469381,0.16694530844688416,14.360170364379883,27.27272727272727,9.090909090909092
kaeri_uniform_water,water,130,0.9070116877555847,0.9067300409078598,0.0010574521179327406,0.13658863306045532,7.785525798797607,76.15384615384615,21.53846153846154
kaeri_nonuniform_water,water,177,0.8636037707328796,0.8608051016926765,0.0029191218568578254,0.23196178674697876,16.510042190551758,48.0225988700565,22.033898305084744
zhao2020_tubes_water,water,287,0.8895753622055054,0.8889139518141747,0.002562503353373343,0.16541889309883118,10.691415786743164,63.41463414634146,9.059233449477352
